TimeStamp,Unit,,,TimeStamp,,Values_60
16:30:28.945 -> 48.9,kPa,,,30:28.9,->,48.9
16:30:29.039 -> 50.8,kPa,,,30:29.0,->,50.8
16:30:29.133 -> 50.8,kPa,,,30:29.1,->,50.8
16:30:29.226 -> 50.8,kPa,,,30:29.2,->,50.8
16:30:29.320 -> 48.9,kPa,,,30:29.3,->,48.9
16:30:29.414 -> 50.8,kPa,,,30:29.4,->,50.8
16:30:29.555 -> 50.8,kPa,,,30:29.6,->,50.8
16:30:29.648 -> 52.8,kPa,,,30:29.6,->,52.8
16:30:29.742 -> 52.8,kPa,,,30:29.7,->,52.8
16:30:29.836 -> 52.8,kPa,,,30:29.8,->,52.8
16:30:29.937 -> 52.8,kPa,,,30:29.9,->,52.8
16:30:30.040 -> 52.8,kPa,,,30:30.0,->,52.8
16:30:30.133 -> 52.8,kPa,,,30:30.1,->,52.8
16:30:30.227 -> 52.8,kPa,,,30:30.2,->,52.8
16:30:30.321 -> 50.8,kPa,,,30:30.3,->,50.8
16:30:30.462 -> 52.8,kPa,,,30:30.5,->,52.8
16:30:30.555 -> 54.7,kPa,,,30:30.6,->,54.7
16:30:30.649 -> 52.8,kPa,,,30:30.6,->,52.8
16:30:30.743 -> 52.8,kPa,,,30:30.7,->,52.8
16:30:30.837 -> 50.8,kPa,,,30:30.8,->,50.8
16:30:30.930 -> 50.8,kPa,,,30:30.9,->,50.8
16:30:31.055 -> 50.8,kPa,,,30:31.1,->,50.8
16:30:31.149 -> 52.8,kPa,,,30:31.1,->,52.8
16:30:31.243 -> 50.8,kPa,,,30:31.2,->,50.8
16:30:31.321 -> 52.8,kPa,,,30:31.3,->,52.8
16:30:31.415 -> 50.8,kPa,,,30:31.4,->,50.8
16:30:31.556 -> 50.8,kPa,,,30:31.6,->,50.8
16:30:31.650 -> 48.9,kPa,,,30:31.6,->,48.9
16:30:31.743 -> 50.8,kPa,,,30:31.7,->,50.8
16:30:31.837 -> 50.8,kPa,,,30:31.8,->,50.8
16:30:31.931 -> 50.8,kPa,,,30:31.9,->,50.8
16:30:32.025 -> 50.8,kPa,,,30:32.0,->,50.8
16:30:32.165 -> 48.9,kPa,,,30:32.2,->,48.9
16:30:32.262 -> 48.9,kPa,,,30:32.3,->,48.9
16:30:32.353 -> 50.8,kPa,,,30:32.4,->,50.8
16:30:32.447 -> 50.8,kPa,,,30:32.4,->,50.8
16:30:32.541 -> 50.8,kPa,,,30:32.5,->,50.8
16:30:32.635 -> 48.9,kPa,,,30:32.6,->,48.9
16:30:32.729 -> 52.8,kPa,,,30:32.7,->,52.8
16:30:32.869 -> 52.8,kPa,,,30:32.9,->,52.8
16:30:32.979 -> 50.8,kPa,,,30:33.0,->,50.8
16:30:33.073 -> 52.8,kPa,,,30:33.1,->,52.8
16:30:33.167 -> 50.8,kPa,,,30:33.2,->,50.8
16:30:33.260 -> 50.8,kPa,,,30:33.3,->,50.8
16:30:33.354 -> 46.9,kPa,,,30:33.4,->,46.9
16:30:33.448 -> 50.8,kPa,,,30:33.4,->,50.8
16:30:33.541 -> 50.8,kPa,,,30:33.5,->,50.8
16:30:33.635 -> 48.9,kPa,,,30:33.6,->,48.9
16:30:33.776 -> 50.8,kPa,,,30:33.8,->,50.8
16:30:33.870 -> 52.8,kPa,,,30:33.9,->,52.8
16:30:33.963 -> 50.8,kPa,,,30:34.0,->,50.8
16:30:34.057 -> 52.8,kPa,,,30:34.1,->,52.8
16:30:34.151 -> 50.8,kPa,,,30:34.2,->,50.8
16:30:34.245 -> 50.8,kPa,,,30:34.2,->,50.8
16:30:34.354 -> 50.8,kPa,,,30:34.4,->,50.8
16:30:34.448 -> 48.9,kPa,,,30:34.4,->,48.9
16:30:34.542 -> 48.9,kPa,,,30:34.5,->,48.9
16:30:34.682 -> 50.8,kPa,,,30:34.7,->,50.8
16:30:34.776 -> 48.9,kPa,,,30:34.8,->,48.9
16:30:34.870 -> 48.9,kPa,,,30:34.9,->,48.9
16:30:34.964 -> 48.9,kPa,,,30:35.0,->,48.9
16:30:35.073 -> 46.9,kPa,,,30:35.1,->,46.9
16:30:35.167 -> 46.9,kPa,,,30:35.2,->,46.9
16:30:35.260 -> 46.9,kPa,,,30:35.3,->,46.9
16:30:35.354 -> 50.8,kPa,,,30:35.4,->,50.8
16:30:35.449 -> 48.9,kPa,,,30:35.4,->,48.9
16:30:35.558 -> 50.8,kPa,,,30:35.6,->,50.8
16:30:35.667 -> 50.8,kPa,,,30:35.7,->,50.8
16:30:35.761 -> 50.8,kPa,,,30:35.8,->,50.8
16:30:35.855 -> 50.8,kPa,,,30:35.9,->,50.8
16:30:35.949 -> 48.9,kPa,,,30:35.9,->,48.9
16:30:36.058 -> 52.8,kPa,,,30:36.1,->,52.8
16:30:36.152 -> 48.9,kPa,,,30:36.2,->,48.9
16:30:36.293 -> 50.8,kPa,,,30:36.3,->,50.8
16:30:36.386 -> 48.9,kPa,,,30:36.4,->,48.9
16:30:36.480 -> 48.9,kPa,,,30:36.5,->,48.9
16:30:36.574 -> 48.9,kPa,,,30:36.6,->,48.9
16:30:36.668 -> 46.9,kPa,,,30:36.7,->,46.9
16:30:36.762 -> 46.9,kPa,,,30:36.8,->,46.9
16:30:36.856 -> 43.0,kPa,,,30:36.9,->,43
16:30:36.949 -> 43.0,kPa,,,30:36.9,->,43
16:30:37.090 -> 45.0,kPa,,,30:37.1,->,45
16:30:37.152 -> 46.9,kPa,,,30:37.2,->,46.9
16:30:37.262 -> 46.9,kPa,,,30:37.3,->,46.9
16:30:37.356 -> 46.9,kPa,,,30:37.4,->,46.9
16:30:37.497 -> 48.9,kPa,,,30:37.5,->,48.9
16:30:37.591 -> 50.8,kPa,,,30:37.6,->,50.8
16:30:37.684 -> 50.8,kPa,,,30:37.7,->,50.8
16:30:37.778 -> 52.8,kPa,,,30:37.8,->,52.8
16:30:37.872 -> 52.8,kPa,,,30:37.9,->,52.8
16:30:37.966 -> 52.8,kPa,,,30:38.0,->,52.8
16:30:38.059 -> 54.7,kPa,,,30:38.1,->,54.7
16:30:38.201 -> 54.7,kPa,,,30:38.2,->,54.7
16:30:38.294 -> 52.8,kPa,,,30:38.3,->,52.8
16:30:38.388 -> 54.7,kPa,,,30:38.4,->,54.7
16:30:38.498 -> 54.7,kPa,,,30:38.5,->,54.7
16:30:38.591 -> 52.8,kPa,,,30:38.6,->,52.8
16:30:38.685 -> 52.8,kPa,,,30:38.7,->,52.8
16:30:38.779 -> 52.8,kPa,,,30:38.8,->,52.8
16:30:38.873 -> 52.8,kPa,,,30:38.9,->,52.8
16:30:38.966 -> 52.8,kPa,,,30:39.0,->,52.8
16:30:39.107 -> 50.8,kPa,,,30:39.1,->,50.8
16:30:39.201 -> 50.8,kPa,,,30:39.2,->,50.8
16:30:39.294 -> 50.8,kPa,,,30:39.3,->,50.8
16:30:39.388 -> 50.8,kPa,,,30:39.4,->,50.8
16:30:39.482 -> 48.9,kPa,,,30:39.5,->,48.9
16:30:39.576 -> 48.9,kPa,,,30:39.6,->,48.9
16:30:39.670 -> 50.8,kPa,,,30:39.7,->,50.8
16:30:39.810 -> 50.8,kPa,,,30:39.8,->,50.8
16:30:39.904 -> 50.8,kPa,,,30:39.9,->,50.8
