TimeStamp,Unit,,,TimeStamp,,Values_60
16:31:01.725 -> 50.8,kPa,,,31:01.7,->,50.8
16:31:01.819 -> 50.8,kPa,,,31:01.8,->,50.8
16:31:01.913 -> 52.8,kPa,,,31:01.9,->,52.8
16:31:02.006 -> 52.8,kPa,,,31:02.0,->,52.8
16:31:02.100 -> 52.8,kPa,,,31:02.1,->,52.8
16:31:02.194 -> 52.8,kPa,,,31:02.2,->,52.8
16:31:02.288 -> 52.8,kPa,,,31:02.3,->,52.8
16:31:02.429 -> 54.7,kPa,,,31:02.4,->,54.7
16:31:02.554 -> 52.8,kPa,,,31:02.6,->,52.8
16:31:02.601 -> 52.8,kPa,,,31:02.6,->,52.8
16:31:02.694 -> 52.8,kPa,,,31:02.7,->,52.8
16:31:02.835 -> 52.8,kPa,,,31:02.8,->,52.8
16:31:02.928 -> 54.7,kPa,,,31:02.9,->,54.7
16:31:03.022 -> 54.7,kPa,,,31:03.0,->,54.7
16:31:03.116 -> 52.8,kPa,,,31:03.1,->,52.8
16:31:03.210 -> 52.8,kPa,,,31:03.2,->,52.8
16:31:03.303 -> 50.8,kPa,,,31:03.3,->,50.8
16:31:03.397 -> 50.8,kPa,,,31:03.4,->,50.8
16:31:03.538 -> 50.8,kPa,,,31:03.5,->,50.8
16:31:03.631 -> 48.9,kPa,,,31:03.6,->,48.9
16:31:03.725 -> 48.9,kPa,,,31:03.7,->,48.9
16:31:03.819 -> 46.9,kPa,,,31:03.8,->,46.9
16:31:03.913 -> 45.0,kPa,,,31:03.9,->,45
16:31:04.007 -> 46.9,kPa,,,31:04.0,->,46.9
16:31:04.101 -> 48.9,kPa,,,31:04.1,->,48.9
16:31:04.242 -> 46.9,kPa,,,31:04.2,->,46.9
16:31:04.335 -> 46.9,kPa,,,31:04.3,->,46.9
16:31:04.429 -> 45.0,kPa,,,31:04.4,->,45
16:31:04.523 -> 45.0,kPa,,,31:04.5,->,45
16:31:04.617 -> 45.0,kPa,,,31:04.6,->,45
16:31:04.710 -> 46.9,kPa,,,31:04.7,->,46.9
16:31:04.851 -> 45.0,kPa,,,31:04.9,->,45
16:31:04.945 -> 45.0,kPa,,,31:04.9,->,45
16:31:05.038 -> 43.0,kPa,,,31:05.0,->,43
16:31:05.132 -> 45.0,kPa,,,31:05.1,->,45
16:31:05.226 -> 46.9,kPa,,,31:05.2,->,46.9
16:31:05.320 -> 46.9,kPa,,,31:05.3,->,46.9
16:31:05.414 -> 46.9,kPa,,,31:05.4,->,46.9
16:31:05.555 -> 50.8,kPa,,,31:05.6,->,50.8
16:31:05.648 -> 52.8,kPa,,,31:05.6,->,52.8
16:31:05.742 -> 52.8,kPa,,,31:05.7,->,52.8
16:31:05.836 -> 52.8,kPa,,,31:05.8,->,52.8
16:31:05.930 -> 50.8,kPa,,,31:05.9,->,50.8
16:31:06.023 -> 52.8,kPa,,,31:06.0,->,52.8
16:31:06.133 -> 52.8,kPa,,,31:06.1,->,52.8
16:31:06.227 -> 52.8,kPa,,,31:06.2,->,52.8
16:31:06.320 -> 52.8,kPa,,,31:06.3,->,52.8
16:31:06.461 -> 52.8,kPa,,,31:06.5,->,52.8
16:31:06.555 -> 50.8,kPa,,,31:06.6,->,50.8
16:31:06.648 -> 48.9,kPa,,,31:06.6,->,48.9
16:31:06.742 -> 48.9,kPa,,,31:06.7,->,48.9
16:31:06.837 -> 48.9,kPa,,,31:06.8,->,48.9
16:31:06.930 -> 48.9,kPa,,,31:06.9,->,48.9
16:31:07.024 -> 46.9,kPa,,,31:07.0,->,46.9
16:31:07.165 -> 46.9,kPa,,,31:07.2,->,46.9
16:31:07.258 -> 45.0,kPa,,,31:07.3,->,45
16:31:07.321 -> 45.0,kPa,,,31:07.3,->,45
16:31:07.462 -> 45.0,kPa,,,31:07.5,->,45
16:31:07.556 -> 46.9,kPa,,,31:07.6,->,46.9
16:31:07.650 -> 46.9,kPa,,,31:07.7,->,46.9
16:31:07.744 -> 46.9,kPa,,,31:07.7,->,46.9
16:31:07.837 -> 43.0,kPa,,,31:07.8,->,43
16:31:07.931 -> 45.0,kPa,,,31:07.9,->,45
16:31:08.025 -> 43.0,kPa,,,31:08.0,->,43
16:31:08.166 -> 45.0,kPa,,,31:08.2,->,45
16:31:08.260 -> 43.0,kPa,,,31:08.3,->,43
16:31:08.354 -> 41.0,kPa,,,31:08.4,->,41
16:31:08.447 -> 43.0,kPa,,,31:08.4,->,43
16:31:08.541 -> 43.0,kPa,,,31:08.5,->,43
16:31:08.635 -> 43.0,kPa,,,31:08.6,->,43
16:31:08.729 -> 45.0,kPa,,,31:08.7,->,45
16:31:08.870 -> 45.0,kPa,,,31:08.9,->,45
16:31:08.963 -> 45.0,kPa,,,31:09.0,->,45
16:31:09.057 -> 46.9,kPa,,,31:09.1,->,46.9
16:31:09.151 -> 46.9,kPa,,,31:09.2,->,46.9
16:31:09.245 -> 46.9,kPa,,,31:09.2,->,46.9
16:31:09.338 -> 48.9,kPa,,,31:09.3,->,48.9
16:31:09.463 -> 50.8,kPa,,,31:09.5,->,50.8
16:31:09.558 -> 50.8,kPa,,,31:09.6,->,50.8
16:31:09.651 -> 50.8,kPa,,,31:09.7,->,50.8
16:31:09.745 -> 50.8,kPa,,,31:09.7,->,50.8
16:31:09.839 -> 52.8,kPa,,,31:09.8,->,52.8
16:31:09.979 -> 50.8,kPa,,,31:10.0,->,50.8
16:31:10.073 -> 52.8,kPa,,,31:10.1,->,52.8
16:31:10.167 -> 52.8,kPa,,,31:10.2,->,52.8
16:31:10.261 -> 54.7,kPa,,,31:10.3,->,54.7
16:31:10.354 -> 52.8,kPa,,,31:10.4,->,52.8
16:31:10.448 -> 52.8,kPa,,,31:10.4,->,52.8
16:31:10.542 -> 52.8,kPa,,,31:10.5,->,52.8
16:31:10.682 -> 54.7,kPa,,,31:10.7,->,54.7
16:31:10.776 -> 52.8,kPa,,,31:10.8,->,52.8
16:31:10.870 -> 52.8,kPa,,,31:10.9,->,52.8
16:31:10.964 -> 54.7,kPa,,,31:11.0,->,54.7
16:31:11.058 -> 54.7,kPa,,,31:11.1,->,54.7
16:31:11.167 -> 54.7,kPa,,,31:11.2,->,54.7
16:31:11.261 -> 52.8,kPa,,,31:11.3,->,52.8
16:31:11.355 -> 54.7,kPa,,,31:11.4,->,54.7
16:31:11.449 -> 52.8,kPa,,,31:11.4,->,52.8
16:31:11.589 -> 52.8,kPa,,,31:11.6,->,52.8
16:31:11.699 -> 52.8,kPa,,,31:11.7,->,52.8
16:31:11.746 -> 54.7,kPa,,,31:11.7,->,54.7
16:31:11.886 -> 50.8,kPa,,,31:11.9,->,50.8
16:31:11.964 -> 50.8,kPa,,,31:12.0,->,50.8
16:31:12.058 -> 50.8,kPa,,,31:12.1,->,50.8
16:31:12.152 -> 50.8,kPa,,,31:12.2,->,50.8
16:31:12.293 -> 52.8,kPa,,,31:12.3,->,52.8
16:31:12.387 -> 52.8,kPa,,,31:12.4,->,52.8
16:31:12.481 -> 50.8,kPa,,,31:12.5,->,50.8
16:31:12.575 -> 50.8,kPa,,,31:12.6,->,50.8
16:31:12.669 -> 50.8,kPa,,,31:12.7,->,50.8
16:31:12.763 -> 50.8,kPa,,,31:12.8,->,50.8
16:31:12.856 -> 50.8,kPa,,,31:12.9,->,50.8
16:31:12.997 -> 50.8,kPa,,,31:13.0,->,50.8
16:31:13.091 -> 50.8,kPa,,,31:13.1,->,50.8
16:31:13.185 -> 50.8,kPa,,,31:13.2,->,50.8
16:31:13.294 -> 48.9,kPa,,,31:13.3,->,48.9
16:31:13.388 -> 48.9,kPa,,,31:13.4,->,48.9
16:31:13.481 -> 48.9,kPa,,,31:13.5,->,48.9
16:31:13.575 -> 50.8,kPa,,,31:13.6,->,50.8
16:31:13.670 -> 48.9,kPa,,,31:13.7,->,48.9
16:31:13.763 -> 48.9,kPa,,,31:13.8,->,48.9
16:31:13.857 -> 48.9,kPa,,,31:13.9,->,48.9
16:31:13.998 -> 50.8,kPa,,,31:14.0,->,50.8
16:31:14.107 -> 48.9,kPa,,,31:14.1,->,48.9
16:31:14.201 -> 50.8,kPa,,,31:14.2,->,50.8
16:31:14.295 -> 50.8,kPa,,,31:14.3,->,50.8
16:31:14.388 -> 54.7,kPa,,,31:14.4,->,54.7
16:31:14.482 -> 52.8,kPa,,,31:14.5,->,52.8
16:31:14.576 -> 52.8,kPa,,,31:14.6,->,52.8
16:31:14.670 -> 50.8,kPa,,,31:14.7,->,50.8
16:31:14.779 -> 54.7,kPa,,,31:14.8,->,54.7
16:31:14.873 -> 52.8,kPa,,,31:14.9,->,52.8
16:31:14.967 -> 50.8,kPa,,,31:15.0,->,50.8
16:31:15.061 -> 52.8,kPa,,,31:15.1,->,52.8
16:31:15.201 -> 52.8,kPa,,,31:15.2,->,52.8
16:31:15.295 -> 52.8,kPa,,,31:15.3,->,52.8
16:31:15.389 -> 52.8,kPa,,,31:15.4,->,52.8
16:31:15.483 -> 52.8,kPa,,,31:15.5,->,52.8
16:31:15.576 -> 54.7,kPa,,,31:15.6,->,54.7
16:31:15.670 -> 52.8,kPa,,,31:15.7,->,52.8
16:31:15.811 -> 52.8,kPa,,,31:15.8,->,52.8
16:31:15.905 -> 50.8,kPa,,,31:15.9,->,50.8
16:31:15.998 -> 52.8,kPa,,,31:16.0,->,52.8
16:31:16.092 -> 50.8,kPa,,,31:16.1,->,50.8
16:31:16.201 -> 50.8,kPa,,,31:16.2,->,50.8
16:31:16.295 -> 48.9,kPa,,,31:16.3,->,48.9
16:31:16.390 -> 50.8,kPa,,,31:16.4,->,50.8
16:31:16.483 -> 52.8,kPa,,,31:16.5,->,52.8
16:31:16.577 -> 52.8,kPa,,,31:16.6,->,52.8
16:31:16.671 -> 52.8,kPa,,,31:16.7,->,52.8
16:31:16.812 -> 52.8,kPa,,,31:16.8,->,52.8
16:31:16.905 -> 52.8,kPa,,,31:16.9,->,52.8
16:31:16.999 -> 52.8,kPa,,,31:17.0,->,52.8
16:31:17.093 -> 52.8,kPa,,,31:17.1,->,52.8
16:31:17.187 -> 54.7,kPa,,,31:17.2,->,54.7
16:31:17.280 -> 54.7,kPa,,,31:17.3,->,54.7
16:31:17.381 -> 50.8,kPa,,,31:17.4,->,50.8
16:31:17.515 -> 50.8,kPa,,,31:17.5,->,50.8
16:31:17.609 -> 52.8,kPa,,,31:17.6,->,52.8
16:31:17.704 -> 52.8,kPa,,,31:17.7,->,52.8
16:31:17.797 -> 52.8,kPa,,,31:17.8,->,52.8
16:31:17.891 -> 52.8,kPa,,,31:17.9,->,52.8
16:31:17.985 -> 52.8,kPa,,,31:18.0,->,52.8
16:31:18.125 -> 52.8,kPa,,,31:18.1,->,52.8
16:31:18.219 -> 54.7,kPa,,,31:18.2,->,54.7
16:31:18.313 -> 52.8,kPa,,,31:18.3,->,52.8
16:31:18.407 -> 56.7,kPa,,,31:18.4,->,56.7
16:31:18.500 -> 54.7,kPa,,,31:18.5,->,54.7
16:31:18.594 -> 54.7,kPa,,,31:18.6,->,54.7
16:31:18.688 -> 56.7,kPa,,,31:18.7,->,56.7
16:31:18.829 -> 54.7,kPa,,,31:18.8,->,54.7
16:31:18.938 -> 52.8,kPa,,,31:18.9,->,52.8
16:31:18.985 -> 52.8,kPa,,,31:19.0,->,52.8
16:31:19.126 -> 52.8,kPa,,,31:19.1,->,52.8
16:31:19.219 -> 52.8,kPa,,,31:19.2,->,52.8
16:31:19.313 -> 52.8,kPa,,,31:19.3,->,52.8
16:31:19.407 -> 50.8,kPa,,,31:19.4,->,50.8
16:31:19.501 -> 50.8,kPa,,,31:19.5,->,50.8
16:31:19.594 -> 50.8,kPa,,,31:19.6,->,50.8
16:31:19.736 -> 50.8,kPa,,,31:19.7,->,50.8
16:31:19.829 -> 50.8,kPa,,,31:19.8,->,50.8
16:31:19.923 -> 48.9,kPa,,,31:19.9,->,48.9
16:31:20.017 -> 50.8,kPa,,,31:20.0,->,50.8
16:31:20.111 -> 50.8,kPa,,,31:20.1,->,50.8
16:31:20.204 -> 50.8,kPa,,,31:20.2,->,50.8
16:31:20.298 -> 48.9,kPa,,,31:20.3,->,48.9
16:31:20.392 -> 50.8,kPa,,,31:20.4,->,50.8
16:31:20.533 -> 48.9,kPa,,,31:20.5,->,48.9
16:31:20.626 -> 50.8,kPa,,,31:20.6,->,50.8
16:31:20.720 -> 50.8,kPa,,,31:20.7,->,50.8
16:31:20.814 -> 48.9,kPa,,,31:20.8,->,48.9
16:31:20.923 -> 50.8,kPa,,,31:20.9,->,50.8
16:31:21.017 -> 48.9,kPa,,,31:21.0,->,48.9
16:31:21.095 -> 50.8,kPa,,,31:21.1,->,50.8
16:31:21.204 -> 48.9,kPa,,,31:21.2,->,48.9
16:31:21.298 -> 46.9,kPa,,,31:21.3,->,46.9
16:31:21.439 -> 46.9,kPa,,,31:21.4,->,46.9
16:31:21.533 -> 46.9,kPa,,,31:21.5,->,46.9
16:31:21.626 -> 46.9,kPa,,,31:21.6,->,46.9
16:31:21.720 -> 45.0,kPa,,,31:21.7,->,45
16:31:21.814 -> 45.0,kPa,,,31:21.8,->,45
16:31:21.908 -> 45.0,kPa,,,31:21.9,->,45
16:31:22.002 -> 46.9,kPa,,,31:22.0,->,46.9
16:31:22.142 -> 46.9,kPa,,,31:22.1,->,46.9
16:31:22.236 -> 46.9,kPa,,,31:22.2,->,46.9
16:31:22.330 -> 46.9,kPa,,,31:22.3,->,46.9
16:31:22.424 -> 48.9,kPa,,,31:22.4,->,48.9
16:31:22.518 -> 48.9,kPa,,,31:22.5,->,48.9
16:31:22.612 -> 48.9,kPa,,,31:22.6,->,48.9
16:31:22.705 -> 48.9,kPa,,,31:22.7,->,48.9
16:31:22.846 -> 48.9,kPa,,,31:22.8,->,48.9
16:31:22.940 -> 52.8,kPa,,,31:22.9,->,52.8
16:31:23.034 -> 50.8,kPa,,,31:23.0,->,50.8
16:31:23.127 -> 54.7,kPa,,,31:23.1,->,54.7
16:31:23.222 -> 54.7,kPa,,,31:23.2,->,54.7
16:31:23.315 -> 50.8,kPa,,,31:23.3,->,50.8
16:31:23.456 -> 50.8,kPa,,,31:23.5,->,50.8
16:31:23.550 -> 50.8,kPa,,,31:23.6,->,50.8
16:31:23.644 -> 50.8,kPa,,,31:23.6,->,50.8
16:31:23.737 -> 46.9,kPa,,,31:23.7,->,46.9
16:31:23.831 -> 45.0,kPa,,,31:23.8,->,45
16:31:23.925 -> 46.9,kPa,,,31:23.9,->,46.9
16:31:24.019 -> 48.9,kPa,,,31:24.0,->,48.9
16:31:24.159 -> 48.9,kPa,,,31:24.2,->,48.9
16:31:24.253 -> 50.8,kPa,,,31:24.3,->,50.8
16:31:24.347 -> 50.8,kPa,,,31:24.3,->,50.8
16:31:24.441 -> 48.9,kPa,,,31:24.4,->,48.9
16:31:24.535 -> 48.9,kPa,,,31:24.5,->,48.9
16:31:24.629 -> 48.9,kPa,,,31:24.6,->,48.9
16:31:24.723 -> 48.9,kPa,,,31:24.7,->,48.9
16:31:24.864 -> 48.9,kPa,,,31:24.9,->,48.9
16:31:24.957 -> 48.9,kPa,,,31:25.0,->,48.9
16:31:25.051 -> 48.9,kPa,,,31:25.1,->,48.9
16:31:25.145 -> 46.9,kPa,,,31:25.1,->,46.9
16:31:25.238 -> 46.9,kPa,,,31:25.2,->,46.9
16:31:25.332 -> 46.9,kPa,,,31:25.3,->,46.9
16:31:25.426 -> 46.9,kPa,,,31:25.4,->,46.9
16:31:25.567 -> 45.0,kPa,,,31:25.6,->,45
16:31:25.660 -> 46.9,kPa,,,31:25.7,->,46.9
16:31:25.754 -> 45.0,kPa,,,31:25.8,->,45
16:31:25.864 -> 46.9,kPa,,,31:25.9,->,46.9
16:31:25.957 -> 50.8,kPa,,,31:26.0,->,50.8
16:31:26.051 -> 48.9,kPa,,,31:26.1,->,48.9
16:31:26.145 -> 46.9,kPa,,,31:26.1,->,46.9
16:31:26.239 -> 46.9,kPa,,,31:26.2,->,46.9
16:31:26.332 -> 46.9,kPa,,,31:26.3,->,46.9
16:31:26.426 -> 45.0,kPa,,,31:26.4,->,45
16:31:26.567 -> 45.0,kPa,,,31:26.6,->,45
16:31:26.661 -> 46.9,kPa,,,31:26.7,->,46.9
16:31:26.755 -> 48.9,kPa,,,31:26.8,->,48.9
16:31:26.849 -> 48.9,kPa,,,31:26.8,->,48.9
16:31:26.942 -> 48.9,kPa,,,31:26.9,->,48.9
16:31:27.036 -> 50.8,kPa,,,31:27.0,->,50.8
16:31:27.131 -> 48.9,kPa,,,31:27.1,->,48.9
16:31:27.271 -> 48.9,kPa,,,31:27.3,->,48.9
16:31:27.365 -> 46.9,kPa,,,31:27.4,->,46.9
16:31:27.454 -> 46.9,kPa,,,31:27.5,->,46.9
16:31:27.534 -> 48.9,kPa,,,31:27.5,->,48.9
16:31:27.654 -> 48.9,kPa,,,31:27.7,->,48.9
16:31:27.734 -> 48.9,kPa,,,31:27.7,->,48.9
16:31:27.854 -> 48.9,kPa,,,31:27.9,->,48.9
16:31:27.974 -> 46.9,kPa,,,31:28.0,->,46.9
16:31:28.054 -> 48.9,kPa,,,31:28.1,->,48.9
16:31:28.175 -> 46.9,kPa,,,31:28.2,->,46.9
16:31:28.254 -> 48.9,kPa,,,31:28.3,->,48.9
16:31:28.375 -> 46.9,kPa,,,31:28.4,->,46.9
16:31:28.454 -> 46.9,kPa,,,31:28.5,->,46.9
16:31:28.575 -> 46.9,kPa,,,31:28.6,->,46.9
16:31:28.655 -> 45.0,kPa,,,31:28.7,->,45
16:31:28.776 -> 45.0,kPa,,,31:28.8,->,45
16:31:28.856 -> 45.0,kPa,,,31:28.9,->,45
16:31:28.976 -> 46.9,kPa,,,31:29.0,->,46.9
16:31:29.056 -> 43.0,kPa,,,31:29.1,->,43
16:31:29.176 -> 45.0,kPa,,,31:29.2,->,45
16:31:29.256 -> 45.0,kPa,,,31:29.3,->,45
16:31:29.376 -> 48.9,kPa,,,31:29.4,->,48.9
16:31:29.466 -> 50.8,kPa,,,31:29.5,->,50.8
16:31:29.546 -> 52.8,kPa,,,31:29.5,->,52.8
16:31:29.666 -> 52.8,kPa,,,31:29.7,->,52.8
16:31:29.746 -> 52.8,kPa,,,31:29.7,->,52.8
16:31:29.866 -> 54.7,kPa,,,31:29.9,->,54.7
16:31:29.986 -> 52.8,kPa,,,31:30.0,->,52.8
16:31:30.067 -> 52.8,kPa,,,31:30.1,->,52.8
16:31:30.149 -> 52.8,kPa,,,31:30.1,->,52.8
16:31:30.271 -> 54.7,kPa,,,31:30.3,->,54.7
16:31:30.354 -> 54.7,kPa,,,31:30.4,->,54.7
16:31:30.478 -> 52.8,kPa,,,31:30.5,->,52.8
16:31:30.558 -> 52.8,kPa,,,31:30.6,->,52.8
16:31:30.680 -> 52.8,kPa,,,31:30.7,->,52.8
16:31:30.759 -> 52.8,kPa,,,31:30.8,->,52.8
16:31:30.876 -> 50.8,kPa,,,31:30.9,->,50.8
16:31:30.958 -> 52.8,kPa,,,31:31.0,->,52.8
16:31:31.083 -> 48.9,kPa,,,31:31.1,->,48.9
16:31:31.165 -> 48.9,kPa,,,31:31.2,->,48.9
16:31:31.287 -> 48.9,kPa,,,31:31.3,->,48.9
16:31:31.367 -> 46.9,kPa,,,31:31.4,->,46.9
16:31:31.490 -> 48.9,kPa,,,31:31.5,->,48.9
16:31:31.571 -> 48.9,kPa,,,31:31.6,->,48.9
16:31:31.693 -> 48.9,kPa,,,31:31.7,->,48.9
16:31:31.774 -> 48.9,kPa,,,31:31.8,->,48.9
16:31:31.855 -> 45.0,kPa,,,31:31.9,->,45
16:31:31.974 -> 46.9,kPa,,,31:32.0,->,46.9
16:31:32.056 -> 45.0,kPa,,,31:32.1,->,45
16:31:32.179 -> 46.9,kPa,,,31:32.2,->,46.9
16:31:32.259 -> 46.9,kPa,,,31:32.3,->,46.9
16:31:32.382 -> 48.9,kPa,,,31:32.4,->,48.9
16:31:32.463 -> 48.9,kPa,,,31:32.5,->,48.9
16:31:32.576 -> 48.9,kPa,,,31:32.6,->,48.9
16:31:32.699 -> 48.9,kPa,,,31:32.7,->,48.9
16:31:32.780 -> 50.8,kPa,,,31:32.8,->,50.8
16:31:32.865 -> 48.9,kPa,,,31:32.9,->,48.9
16:31:32.984 -> 46.9,kPa,,,31:33.0,->,46.9
16:31:33.066 -> 50.8,kPa,,,31:33.1,->,50.8
16:31:33.187 -> 50.8,kPa,,,31:33.2,->,50.8
16:31:33.269 -> 50.8,kPa,,,31:33.3,->,50.8
16:31:33.390 -> 50.8,kPa,,,31:33.4,->,50.8
16:31:33.470 -> 52.8,kPa,,,31:33.5,->,52.8
16:31:33.594 -> 48.9,kPa,,,31:33.6,->,48.9
16:31:33.676 -> 50.8,kPa,,,31:33.7,->,50.8
16:31:33.799 -> 48.9,kPa,,,31:33.8,->,48.9
16:31:33.881 -> 50.8,kPa,,,31:33.9,->,50.8
16:31:34.002 -> 48.9,kPa,,,31:34.0,->,48.9
16:31:34.082 -> 50.8,kPa,,,31:34.1,->,50.8
16:31:34.204 -> 50.8,kPa,,,31:34.2,->,50.8
16:31:34.286 -> 50.8,kPa,,,31:34.3,->,50.8
16:31:34.408 -> 50.8,kPa,,,31:34.4,->,50.8
16:31:34.488 -> 52.8,kPa,,,31:34.5,->,52.8
16:31:34.570 -> 52.8,kPa,,,31:34.6,->,52.8
16:31:34.690 -> 50.8,kPa,,,31:34.7,->,50.8
16:31:34.810 -> 52.8,kPa,,,31:34.8,->,52.8
16:31:34.900 -> 50.8,kPa,,,31:34.9,->,50.8
16:31:34.983 -> 50.8,kPa,,,31:35.0,->,50.8
16:31:35.077 -> 50.8,kPa,,,31:35.1,->,50.8
16:31:35.202 -> 48.9,kPa,,,31:35.2,->,48.9
16:31:35.311 -> 50.8,kPa,,,31:35.3,->,50.8
16:31:35.384 -> 50.8,kPa,,,31:35.4,->,50.8
16:31:35.515 -> 48.9,kPa,,,31:35.5,->,48.9
16:31:35.608 -> 50.8,kPa,,,31:35.6,->,50.8
16:31:35.702 -> 50.8,kPa,,,31:35.7,->,50.8
16:31:35.796 -> 50.8,kPa,,,31:35.8,->,50.8
16:31:35.890 -> 48.9,kPa,,,31:35.9,->,48.9
16:31:35.984 -> 50.8,kPa,,,31:36.0,->,50.8
16:31:36.077 -> 48.9,kPa,,,31:36.1,->,48.9
16:31:36.218 -> 50.8,kPa,,,31:36.2,->,50.8
16:31:36.312 -> 48.9,kPa,,,31:36.3,->,48.9
16:31:36.405 -> 50.8,kPa,,,31:36.4,->,50.8
16:31:36.499 -> 50.8,kPa,,,31:36.5,->,50.8
16:31:36.624 -> 48.9,kPa,,,31:36.6,->,48.9
16:31:36.687 -> 46.9,kPa,,,31:36.7,->,46.9
16:31:36.828 -> 48.9,kPa,,,31:36.8,->,48.9
16:31:36.922 -> 48.9,kPa,,,31:36.9,->,48.9
16:31:37.015 -> 50.8,kPa,,,31:37.0,->,50.8
16:31:37.109 -> 48.9,kPa,,,31:37.1,->,48.9
16:31:37.187 -> 46.9,kPa,,,31:37.2,->,46.9
16:31:37.328 -> 46.9,kPa,,,31:37.3,->,46.9
16:31:37.422 -> 46.9,kPa,,,31:37.4,->,46.9
16:31:37.516 -> 48.9,kPa,,,31:37.5,->,48.9
16:31:37.610 -> 48.9,kPa,,,31:37.6,->,48.9
16:31:37.704 -> 48.9,kPa,,,31:37.7,->,48.9
16:31:37.797 -> 50.8,kPa,,,31:37.8,->,50.8
16:31:37.891 -> 48.9,kPa,,,31:37.9,->,48.9
16:31:37.985 -> 48.9,kPa,,,31:38.0,->,48.9
16:31:38.125 -> 46.9,kPa,,,31:38.1,->,46.9
16:31:38.220 -> 48.9,kPa,,,31:38.2,->,48.9
16:31:38.314 -> 48.9,kPa,,,31:38.3,->,48.9
16:31:38.407 -> 46.9,kPa,,,31:38.4,->,46.9
16:31:38.501 -> 48.9,kPa,,,31:38.5,->,48.9
16:31:38.595 -> 46.9,kPa,,,31:38.6,->,46.9
16:31:38.736 -> 48.9,kPa,,,31:38.7,->,48.9
16:31:38.829 -> 48.9,kPa,,,31:38.8,->,48.9
16:31:38.923 -> 50.8,kPa,,,31:38.9,->,50.8
16:31:39.017 -> 50.8,kPa,,,31:39.0,->,50.8
16:31:39.111 -> 52.8,kPa,,,31:39.1,->,52.8
16:31:39.204 -> 50.8,kPa,,,31:39.2,->,50.8
16:31:39.298 -> 50.8,kPa,,,31:39.3,->,50.8
16:31:39.439 -> 48.9,kPa,,,31:39.4,->,48.9
16:31:39.533 -> 46.9,kPa,,,31:39.5,->,46.9
16:31:39.627 -> 46.9,kPa,,,31:39.6,->,46.9
16:31:39.720 -> 46.9,kPa,,,31:39.7,->,46.9
16:31:39.814 -> 46.9,kPa,,,31:39.8,->,46.9
16:31:39.908 -> 46.9,kPa,,,31:39.9,->,46.9
16:31:40.002 -> 45.0,kPa,,,31:40.0,->,45
16:31:40.142 -> 45.0,kPa,,,31:40.1,->,45
16:31:40.236 -> 45.0,kPa,,,31:40.2,->,45
16:31:40.330 -> 46.9,kPa,,,31:40.3,->,46.9
16:31:40.424 -> 46.9,kPa,,,31:40.4,->,46.9
16:31:40.533 -> 46.9,kPa,,,31:40.5,->,46.9
16:31:40.627 -> 48.9,kPa,,,31:40.6,->,48.9
16:31:40.720 -> 50.8,kPa,,,31:40.7,->,50.8
16:31:40.814 -> 50.8,kPa,,,31:40.8,->,50.8
16:31:40.909 -> 50.8,kPa,,,31:40.9,->,50.8
16:31:41.049 -> 48.9,kPa,,,31:41.0,->,48.9
16:31:41.143 -> 48.9,kPa,,,31:41.1,->,48.9
16:31:41.237 -> 46.9,kPa,,,31:41.2,->,46.9
16:31:41.331 -> 46.9,kPa,,,31:41.3,->,46.9
16:31:41.424 -> 46.9,kPa,,,31:41.4,->,46.9
16:31:41.518 -> 46.9,kPa,,,31:41.5,->,46.9
16:31:41.612 -> 48.9,kPa,,,31:41.6,->,48.9
16:31:41.753 -> 48.9,kPa,,,31:41.8,->,48.9
16:31:41.846 -> 48.9,kPa,,,31:41.8,->,48.9
16:31:41.941 -> 48.9,kPa,,,31:41.9,->,48.9
16:31:42.035 -> 50.8,kPa,,,31:42.0,->,50.8
16:31:42.128 -> 52.8,kPa,,,31:42.1,->,52.8
16:31:42.222 -> 50.8,kPa,,,31:42.2,->,50.8
16:31:42.316 -> 50.8,kPa,,,31:42.3,->,50.8
16:31:42.488 -> 50.8,kPa,,,31:42.5,->,50.8
16:31:42.535 -> 50.8,kPa,,,31:42.5,->,50.8
16:31:42.629 -> 50.8,kPa,,,31:42.6,->,50.8
16:31:42.723 -> 52.8,kPa,,,31:42.7,->,52.8
16:31:42.817 -> 50.8,kPa,,,31:42.8,->,50.8
16:31:42.957 -> 52.8,kPa,,,31:43.0,->,52.8
16:31:43.051 -> 52.8,kPa,,,31:43.1,->,52.8
16:31:43.145 -> 54.7,kPa,,,31:43.1,->,54.7
16:31:43.239 -> 52.8,kPa,,,31:43.2,->,52.8
16:31:43.333 -> 52.8,kPa,,,31:43.3,->,52.8
16:31:43.427 -> 52.8,kPa,,,31:43.4,->,52.8
16:31:43.521 -> 52.8,kPa,,,31:43.5,->,52.8
16:31:43.662 -> 52.8,kPa,,,31:43.7,->,52.8
16:31:43.756 -> 50.8,kPa,,,31:43.8,->,50.8
16:31:43.849 -> 50.8,kPa,,,31:43.8,->,50.8
16:31:43.943 -> 50.8,kPa,,,31:43.9,->,50.8
16:31:44.037 -> 48.9,kPa,,,31:44.0,->,48.9
16:31:44.131 -> 46.9,kPa,,,31:44.1,->,46.9
16:31:44.224 -> 46.9,kPa,,,31:44.2,->,46.9
16:31:44.365 -> 45.0,kPa,,,31:44.4,->,45
16:31:44.459 -> 43.0,kPa,,,31:44.5,->,43
