TimeStamp,Unit,,,TimeStamp,,Values
16:11:07.971 -> 87.9,kPa,,,11:08.0,->,87.9
16:11:08.066 -> 87.9,kPa,,,11:08.1,->,87.9
16:11:08.161 -> 87.9,kPa,,,11:08.2,->,87.9
16:11:08.256 -> 86.0,kPa,,,11:08.3,->,86
16:11:08.398 -> 86.0,kPa,,,11:08.4,->,86
16:11:08.494 -> 84.0,kPa,,,11:08.5,->,84
16:11:08.588 -> 86.0,kPa,,,11:08.6,->,86
16:11:08.687 -> 87.9,kPa,,,11:08.7,->,87.9
16:11:08.793 -> 91.8,kPa,,,11:08.8,->,91.8
16:11:08.888 -> 93.8,kPa,,,11:08.9,->,93.8
16:11:08.983 -> 93.8,kPa,,,11:09.0,->,93.8
16:11:09.078 -> 93.8,kPa,,,11:09.1,->,93.8
16:11:09.172 -> 95.7,kPa,,,11:09.2,->,95.7
16:11:09.271 -> 95.7,kPa,,,11:09.3,->,95.7
16:11:09.363 -> 95.7,kPa,,,11:09.4,->,95.7
16:11:09.505 -> 95.7,kPa,,,11:09.5,->,95.7
16:11:09.600 -> 95.7,kPa,,,11:09.6,->,95.7
16:11:09.695 -> 91.8,kPa,,,11:09.7,->,91.8
16:11:09.791 -> 87.9,kPa,,,11:09.8,->,87.9
16:11:09.884 -> 84.0,kPa,,,11:09.9,->,84
16:11:09.980 -> 78.2,kPa,,,11:10.0,->,78.2
16:11:10.075 -> 70.3,kPa,,,11:10.1,->,70.3
16:11:10.171 -> 60.6,kPa,,,11:10.2,->,60.6
16:11:10.267 -> 60.6,kPa,,,11:10.3,->,60.6
16:11:10.410 -> 60.6,kPa,,,11:10.4,->,60.6
16:11:10.505 -> 70.3,kPa,,,11:10.5,->,70.3
16:11:10.600 -> 78.2,kPa,,,11:10.6,->,78.2
16:11:10.694 -> 84.0,kPa,,,11:10.7,->,84
16:11:10.789 -> 86.0,kPa,,,11:10.8,->,86
16:11:10.884 -> 87.9,kPa,,,11:10.9,->,87.9
16:11:10.979 -> 89.9,kPa,,,11:11.0,->,89.9
16:11:11.074 -> 91.8,kPa,,,11:11.1,->,91.8
16:11:11.218 -> 87.9,kPa,,,11:11.2,->,87.9
16:11:11.312 -> 86.0,kPa,,,11:11.3,->,86
16:11:11.406 -> 84.0,kPa,,,11:11.4,->,84
16:11:11.501 -> 78.2,kPa,,,11:11.5,->,78.2
16:11:11.595 -> 70.3,kPa,,,11:11.6,->,70.3
16:11:11.690 -> 68.4,kPa,,,11:11.7,->,68.4
16:11:11.784 -> 62.5,kPa,,,11:11.8,->,62.5
16:11:11.877 -> 68.4,kPa,,,11:11.9,->,68.4
