TimeStamp,,,,TimeStamp,,Values_At_45
17:19:31.875 -> 76.2209.00,,,,19:31.9,->,76.2209.00
17:19:31.970 -> 76.2209.00,,,,19:32.0,->,76.2209.00
17:19:32.066 -> 76.2208.00,,,,19:32.1,->,76.2208.00
17:19:32.162 -> 74.3208.00,,,,19:32.2,->,74.3208.00
17:19:32.257 -> 74.3209.00,,,,19:32.3,->,74.3209.00
17:19:32.400 -> 76.2209.00,,,,19:32.4,->,76.2209.00
17:19:32.494 -> 76.2208.00,,,,19:32.5,->,76.2208.00
17:19:32.589 -> 74.3207.00,,,,19:32.6,->,74.3207.00
17:19:32.683 -> 72.3207.00,,,,19:32.7,->,72.3207.00
17:19:32.777 -> 72.3206.00,,,,19:32.8,->,72.3206.00
17:19:32.871 -> 70.3204.00,,,,19:32.9,->,70.3204.00
17:19:32.966 -> 66.4204.00,,,,19:33.0,->,66.4204.00
17:19:33.059 -> 66.4205.00,,,,19:33.1,->,66.4205.00
17:19:33.199 -> 68.4205.00,,,,19:33.2,->,68.4205.00
17:19:33.293 -> 68.4205.00,,,,19:33.3,->,68.4205.00
17:19:33.387 -> 68.4207.00,,,,19:33.4,->,68.4207.00
17:19:33.481 -> 72.3206.00,,,,19:33.5,->,72.3206.00
17:19:33.576 -> 70.3205.00,,,,19:33.6,->,70.3205.00
17:19:33.669 -> 68.4205.00,,,,19:33.7,->,68.4205.00
17:19:33.765 -> 68.4205.00,,,,19:33.8,->,68.4205.00
17:19:33.907 -> 68.4205.00,,,,19:33.9,->,68.4205.00
17:19:34.001 -> 68.4204.00,,,,19:34.0,->,68.4204.00
17:19:34.096 -> 66.4206.00,,,,19:34.1,->,66.4206.00
17:19:34.191 -> 70.3207.00,,,,19:34.2,->,70.3207.00
17:19:34.286 -> 72.3207.00,,,,19:34.3,->,72.3207.00
17:19:34.383 -> 72.3206.00,,,,19:34.4,->,72.3206.00
17:19:34.477 -> 70.3208.00,,,,19:34.5,->,70.3208.00
17:19:34.605 -> 74.3208.00,,,,19:34.6,->,74.3208.00
17:19:34.700 -> 74.3207.00,,,,19:34.7,->,74.3207.00
17:19:34.795 -> 72.3206.00,,,,19:34.8,->,72.3206.00
17:19:34.890 -> 70.3205.00,,,,19:34.9,->,70.3205.00
17:19:34.985 -> 68.4203.00,,,,19:35.0,->,68.4203.00
17:19:35.080 -> 64.5201.00,,,,19:35.1,->,64.5201.00
17:19:35.222 -> 60.6201.00,,,,19:35.2,->,60.6201.00
17:19:35.317 -> 60.6200.00,,,,19:35.3,->,60.6200.00
17:19:35.413 -> 58.6199.00,,,,19:35.4,->,58.6199.00
17:19:35.508 -> 56.7200.00,,,,19:35.5,->,56.7200.00
17:19:35.603 -> 58.6203.00,,,,19:35.6,->,58.6203.00
17:19:35.698 -> 64.5207.00,,,,19:35.7,->,64.5207.00
17:19:35.793 -> 72.3208.00,,,,19:35.8,->,72.3208.00
17:19:35.889 -> 74.3209.00,,,,19:35.9,->,74.3209.00
17:19:36.031 -> 76.2208.00,,,,19:36.0,->,76.2208.00
17:19:36.125 -> 74.3209.00,,,,19:36.1,->,74.3209.00
17:19:36.220 -> 76.2210.00,,,,19:36.2,->,76.2210.00
17:19:36.315 -> 78.2210.00,,,,19:36.3,->,78.2210.00
17:19:36.412 -> 78.2210.00,,,,19:36.4,->,78.2210.00
17:19:36.538 -> 78.2209.00,,,,19:36.5,->,78.2209.00
17:19:36.633 -> 76.2209.00,,,,19:36.6,->,76.2209.00
17:19:36.728 -> 76.2209.00,,,,19:36.7,->,76.2209.00
17:19:36.823 -> 76.2209.00,,,,19:36.8,->,76.2209.00
17:19:36.918 -> 76.2210.00,,,,19:36.9,->,76.2210.00
17:19:37.012 -> 78.2210.00,,,,19:37.0,->,78.2210.00
17:19:37.107 -> 78.2210.00,,,,19:37.1,->,78.2210.00
17:19:37.202 -> 78.2210.00,,,,19:37.2,->,78.2210.00
17:19:37.344 -> 78.2210.00,,,,19:37.3,->,78.2210.00
17:19:37.439 -> 78.2209.00,,,,19:37.4,->,78.2209.00
17:19:37.533 -> 76.2209.00,,,,19:37.5,->,76.2209.00
17:19:37.627 -> 76.2209.00,,,,19:37.6,->,76.2209.00
17:19:37.721 -> 76.2210.00,,,,19:37.7,->,76.2210.00
17:19:37.815 -> 78.2209.00,,,,19:37.8,->,78.2209.00
17:19:37.908 -> 76.2209.00,,,,19:37.9,->,76.2209.00
17:19:38.049 -> 76.2210.00,,,,19:38.0,->,76.2210.00
17:19:38.143 -> 78.2209.00,,,,19:38.1,->,78.2209.00
17:19:38.237 -> 76.2208.00,,,,19:38.2,->,76.2208.00
17:19:38.330 -> 74.3206.00,,,,19:38.3,->,74.3206.00
17:19:38.426 -> 70.3204.00,,,,19:38.4,->,70.3204.00
17:19:38.554 -> 66.4202.00,,,,19:38.6,->,66.4202.00
17:19:38.648 -> 62.5202.00,,,,19:38.6,->,62.5202.00
17:19:38.742 -> 62.5203.00,,,,19:38.7,->,62.5203.00
17:19:38.835 -> 64.5202.00,,,,19:38.8,->,64.5202.00
17:19:38.929 -> 62.5201.00,,,,19:38.9,->,62.5201.00
17:19:39.023 -> 60.6198.00,,,,19:39.0,->,60.6198.00
17:19:39.117 -> 54.7198.00,,,,19:39.1,->,54.7198.00
17:19:39.264 -> 54.7201.00,,,,19:39.3,->,54.7201.00
17:19:39.354 -> 60.6204.00,,,,19:39.4,->,60.6204.00
17:19:39.450 -> 66.4207.00,,,,19:39.5,->,66.4207.00
17:19:39.545 -> 72.3208.00,,,,19:39.5,->,72.3208.00
17:19:39.641 -> 74.3209.00,,,,19:39.6,->,74.3209.00
17:19:39.735 -> 76.2209.00,,,,19:39.7,->,76.2209.00
17:19:39.829 -> 76.2207.00,,,,19:39.8,->,76.2207.00
17:19:39.970 -> 72.3209.00,,,,19:40.0,->,72.3209.00
17:19:40.064 -> 76.2209.00,,,,19:40.1,->,76.2209.00
17:19:40.157 -> 76.2209.00,,,,19:40.2,->,76.2209.00
17:19:40.251 -> 76.2210.00,,,,19:40.3,->,76.2210.00
17:19:40.345 -> 78.2210.00,,,,19:40.3,->,78.2210.00
17:19:40.441 -> 78.2209.00,,,,19:40.4,->,78.2209.00
17:19:40.536 -> 76.2210.00,,,,19:40.5,->,76.2210.00
17:19:40.632 -> 78.2209.00,,,,19:40.6,->,78.2209.00
17:19:40.772 -> 76.2210.00,,,,19:40.8,->,76.2210.00
17:19:40.867 -> 78.2209.00,,,,19:40.9,->,78.2209.00
17:19:40.962 -> 76.2208.00,,,,19:41.0,->,76.2208.00
17:19:41.056 -> 74.3208.00,,,,19:41.1,->,74.3208.00
17:19:41.151 -> 74.3207.00,,,,19:41.2,->,74.3207.00
17:19:41.246 -> 72.3206.00,,,,19:41.2,->,72.3206.00
17:19:41.340 -> 70.3206.00,,,,19:41.3,->,70.3206.00
17:19:41.482 -> 70.3206.00,,,,19:41.5,->,70.3206.00
17:19:41.578 -> 70.3206.00,,,,19:41.6,->,70.3206.00
17:19:41.674 -> 70.3206.00,,,,19:41.7,->,70.3206.00
