TimeStamp,,,,TimeStamp,,Values_At_45
17:20:01.838 -> 78.2209.00,,,,20:01.8,->,78.2209.00
17:20:01.979 -> 76.2208.00,,,,20:02.0,->,76.2208.00
17:20:02.073 -> 74.3209.00,,,,20:02.1,->,74.3209.00
17:20:02.167 -> 76.2209.00,,,,20:02.2,->,76.2209.00
17:20:02.260 -> 76.2209.00,,,,20:02.3,->,76.2209.00
17:20:02.354 -> 76.2208.00,,,,20:02.4,->,76.2208.00
17:20:02.448 -> 74.3209.00,,,,20:02.4,->,74.3209.00
17:20:02.575 -> 76.2208.00,,,,20:02.6,->,76.2208.00
17:20:02.654 -> 74.3208.00,,,,20:02.7,->,74.3208.00
17:20:02.795 -> 74.3208.00,,,,20:02.8,->,74.3208.00
17:20:02.890 -> 74.3208.00,,,,20:02.9,->,74.3208.00
17:20:02.985 -> 74.3209.00,,,,20:03.0,->,74.3209.00
17:20:03.080 -> 76.2209.00,,,,20:03.1,->,76.2209.00
17:20:03.175 -> 76.2209.00,,,,20:03.2,->,76.2209.00
17:20:03.269 -> 76.2209.00,,,,20:03.3,->,76.2209.00
17:20:03.364 -> 76.2209.00,,,,20:03.4,->,76.2209.00
17:20:03.458 -> 76.2209.00,,,,20:03.5,->,76.2209.00
17:20:03.601 -> 76.2210.00,,,,20:03.6,->,76.2210.00
17:20:03.696 -> 78.2210.00,,,,20:03.7,->,78.2210.00
17:20:03.791 -> 78.2210.00,,,,20:03.8,->,78.2210.00
17:20:03.887 -> 78.2209.00,,,,20:03.9,->,78.2209.00
17:20:03.982 -> 76.2209.00,,,,20:04.0,->,76.2209.00
17:20:04.076 -> 76.2208.00,,,,20:04.1,->,76.2208.00
17:20:04.171 -> 74.3209.00,,,,20:04.2,->,74.3209.00
17:20:04.266 -> 76.2209.00,,,,20:04.3,->,76.2209.00
17:20:04.361 -> 76.2210.00,,,,20:04.4,->,76.2210.00
17:20:04.504 -> 78.2209.00,,,,20:04.5,->,78.2209.00
17:20:04.598 -> 76.2209.00,,,,20:04.6,->,76.2209.00
17:20:04.692 -> 76.2209.00,,,,20:04.7,->,76.2209.00
17:20:04.789 -> 76.2209.00,,,,20:04.8,->,76.2209.00
17:20:04.882 -> 76.2209.00,,,,20:04.9,->,76.2209.00
17:20:04.978 -> 76.2210.00,,,,20:05.0,->,76.2210.00
17:20:05.106 -> 78.2209.00,,,,20:05.1,->,78.2209.00
17:20:05.200 -> 76.2209.00,,,,20:05.2,->,76.2209.00
17:20:05.295 -> 76.2210.00,,,,20:05.3,->,76.2210.00
17:20:05.390 -> 78.2210.00,,,,20:05.4,->,78.2210.00
17:20:05.485 -> 78.2209.00,,,,20:05.5,->,78.2209.00
17:20:05.579 -> 76.2210.00,,,,20:05.6,->,76.2210.00
17:20:05.721 -> 78.2209.00,,,,20:05.7,->,78.2209.00
17:20:05.817 -> 76.2209.00,,,,20:05.8,->,76.2209.00
17:20:05.912 -> 76.2207.00,,,,20:05.9,->,76.2207.00
17:20:06.007 -> 72.3207.00,,,,20:06.0,->,72.3207.00
17:20:06.087 -> 72.3208.00,,,,20:06.1,->,72.3208.00
17:20:06.182 -> 74.3208.00,,,,20:06.2,->,74.3208.00
17:20:06.323 -> 74.3209.00,,,,20:06.3,->,74.3209.00
17:20:06.419 -> 76.2209.00,,,,20:06.4,->,76.2209.00
17:20:06.514 -> 76.2209.00,,,,20:06.5,->,76.2209.00
17:20:06.610 -> 76.2209.00,,,,20:06.6,->,76.2209.00
17:20:06.704 -> 76.2209.00,,,,20:06.7,->,76.2209.00
17:20:06.799 -> 76.2207.00,,,,20:06.8,->,76.2207.00
17:20:06.894 -> 72.3205.00,,,,20:06.9,->,72.3205.00
17:20:07.027 -> 68.4203.00,,,,20:07.0,->,68.4203.00
17:20:07.118 -> 64.5201.00,,,,20:07.1,->,64.5201.00
17:20:07.211 -> 60.6202.00,,,,20:07.2,->,60.6202.00
17:20:07.306 -> 62.5206.00,,,,20:07.3,->,62.5206.00
17:20:07.400 -> 70.3207.00,,,,20:07.4,->,70.3207.00
17:20:07.496 -> 72.3208.00,,,,20:07.5,->,72.3208.00
17:20:07.638 -> 74.3208.00,,,,20:07.6,->,74.3208.00
17:20:07.717 -> 74.3209.00,,,,20:07.7,->,74.3209.00
17:20:07.812 -> 76.2210.00,,,,20:07.8,->,76.2210.00
17:20:07.906 -> 78.2210.00,,,,20:07.9,->,78.2210.00
17:20:08.048 -> 78.2210.00,,,,20:08.0,->,78.2210.00
17:20:08.143 -> 78.2211.00,,,,20:08.1,->,78.2211.00
17:20:08.223 -> 80.1210.00,,,,20:08.2,->,80.1210.00
17:20:08.318 -> 78.2210.00,,,,20:08.3,->,78.2210.00
17:20:08.412 -> 78.2211.00,,,,20:08.4,->,78.2211.00
17:20:08.506 -> 80.1209.00,,,,20:08.5,->,80.1209.00
17:20:08.649 -> 76.2208.00,,,,20:08.6,->,76.2208.00
17:20:08.743 -> 74.3207.00,,,,20:08.7,->,74.3207.00
17:20:08.837 -> 72.3206.00,,,,20:08.8,->,72.3206.00
17:20:08.933 -> 70.3205.00,,,,20:08.9,->,70.3205.00
17:20:09.027 -> 68.4207.00,,,,20:09.0,->,68.4207.00
17:20:09.122 -> 72.3208.00,,,,20:09.1,->,72.3208.00
17:20:09.218 -> 74.3209.00,,,,20:09.2,->,74.3209.00
17:20:09.359 -> 76.2210.00,,,,20:09.4,->,76.2210.00
17:20:09.452 -> 78.2209.00,,,,20:09.5,->,78.2209.00
17:20:09.546 -> 76.2210.00,,,,20:09.5,->,76.2210.00
17:20:09.640 -> 78.2210.00,,,,20:09.6,->,78.2210.00
17:20:09.735 -> 78.2209.00,,,,20:09.7,->,78.2209.00
17:20:09.829 -> 76.2210.00,,,,20:09.8,->,76.2210.00
17:20:09.923 -> 78.2209.00,,,,20:09.9,->,78.2209.00
17:20:10.064 -> 76.2209.00,,,,20:10.1,->,76.2209.00
17:20:10.157 -> 76.2208.00,,,,20:10.2,->,76.2208.00
17:20:10.251 -> 74.3208.00,,,,20:10.3,->,74.3208.00
17:20:10.345 -> 74.3208.00,,,,20:10.3,->,74.3208.00
17:20:10.439 -> 74.3207.00,,,,20:10.4,->,74.3207.00
17:20:10.533 -> 72.3206.00,,,,20:10.5,->,72.3206.00
17:20:10.629 -> 70.3207.00,,,,20:10.6,->,70.3207.00
17:20:10.770 -> 72.3208.00,,,,20:10.8,->,72.3208.00
17:20:10.863 -> 74.3209.00,,,,20:10.9,->,74.3209.00
17:20:10.957 -> 76.2210.00,,,,20:11.0,->,76.2210.00
17:20:11.050 -> 78.2210.00,,,,20:11.1,->,78.2210.00
17:20:11.145 -> 78.2211.00,,,,20:11.1,->,78.2211.00
17:20:11.238 -> 80.1210.00,,,,20:11.2,->,80.1210.00
17:20:11.332 -> 78.2210.00,,,,20:11.3,->,78.2210.00
17:20:11.473 -> 78.2209.00,,,,20:11.5,->,78.2209.00
17:20:11.568 -> 76.2209.00,,,,20:11.6,->,76.2209.00
17:20:11.663 -> 76.2210.00,,,,20:11.7,->,76.2210.00
17:20:11.758 -> 78.2209.00,,,,20:11.8,->,78.2209.00
17:20:11.853 -> 76.2208.00,,,,20:11.9,->,76.2208.00
17:20:11.946 -> 74.3209.00,,,,20:11.9,->,74.3209.00
17:20:12.040 -> 76.2208.00,,,,20:12.0,->,76.2208.00
17:20:12.181 -> 74.3208.00,,,,20:12.2,->,74.3208.00
17:20:12.275 -> 74.3209.00,,,,20:12.3,->,74.3209.00
17:20:12.370 -> 76.2209.00,,,,20:12.4,->,76.2209.00
17:20:12.463 -> 76.2209.00,,,,20:12.5,->,76.2209.00
17:20:12.557 -> 76.2209.00,,,,20:12.6,->,76.2209.00
17:20:12.651 -> 76.2210.00,,,,20:12.7,->,76.2210.00
17:20:12.792 -> 78.2208.00,,,,20:12.8,->,78.2208.00
17:20:12.886 -> 74.3208.00,,,,20:12.9,->,74.3208.00
17:20:12.979 -> 74.3209.00,,,,20:13.0,->,74.3209.00
17:20:13.073 -> 76.2210.00,,,,20:13.1,->,76.2210.00
17:20:13.167 -> 78.2209.00,,,,20:13.2,->,78.2209.00
17:20:13.260 -> 76.2210.00,,,,20:13.3,->,76.2210.00
17:20:13.354 -> 78.2210.00,,,,20:13.4,->,78.2210.00
17:20:13.495 -> 78.2210.00,,,,20:13.5,->,78.2210.00
17:20:13.589 -> 78.2211.00,,,,20:13.6,->,78.2211.00
17:20:13.687 -> 80.1211.00,,,,20:13.7,->,80.1211.00
17:20:13.777 -> 80.1210.00,,,,20:13.8,->,80.1210.00
17:20:13.873 -> 78.2210.00,,,,20:13.9,->,78.2210.00
17:20:13.968 -> 78.2210.00,,,,20:14.0,->,78.2210.00
17:20:14.065 -> 78.2209.00,,,,20:14.1,->,78.2209.00
17:20:14.208 -> 76.2210.00,,,,20:14.2,->,76.2210.00
17:20:14.302 -> 78.2210.00,,,,20:14.3,->,78.2210.00
17:20:14.395 -> 78.2210.00,,,,20:14.4,->,78.2210.00
17:20:14.489 -> 78.2209.00,,,,20:14.5,->,78.2209.00
17:20:14.583 -> 76.2209.00,,,,20:14.6,->,76.2209.00
17:20:14.678 -> 76.2207.00,,,,20:14.7,->,76.2207.00
17:20:14.773 -> 72.3206.00,,,,20:14.8,->,72.3206.00
17:20:14.869 -> 70.3203.00,,,,20:14.9,->,70.3203.00
17:20:14.996 -> 64.5202.00,,,,20:15.0,->,64.5202.00
17:20:15.092 -> 62.5199.00,,,,20:15.1,->,62.5199.00
17:20:15.186 -> 56.7198.00,,,,20:15.2,->,56.7198.00
17:20:15.280 -> 54.7199.00,,,,20:15.3,->,54.7199.00
17:20:15.375 -> 56.7202.00,,,,20:15.4,->,56.7202.00
17:20:15.503 -> 62.5204.00,,,,20:15.5,->,62.5204.00
17:20:15.599 -> 66.4206.00,,,,20:15.6,->,66.4206.00
17:20:15.693 -> 70.3209.00,,,,20:15.7,->,70.3209.00
17:20:15.788 -> 76.2209.00,,,,20:15.8,->,76.2209.00
17:20:15.883 -> 76.2210.00,,,,20:15.9,->,76.2210.00
17:20:16.025 -> 78.2210.00,,,,20:16.0,->,78.2210.00
17:20:16.120 -> 78.2211.00,,,,20:16.1,->,78.2211.00
17:20:16.214 -> 80.1212.00,,,,20:16.2,->,80.1212.00
17:20:16.308 -> 82.1210.00,,,,20:16.3,->,82.1210.00
17:20:16.403 -> 78.2211.00,,,,20:16.4,->,78.2211.00
17:20:16.498 -> 80.1211.00,,,,20:16.5,->,80.1211.00
17:20:16.592 -> 80.1211.00,,,,20:16.6,->,80.1211.00
17:20:16.687 -> 80.1210.00,,,,20:16.7,->,80.1210.00
17:20:16.829 -> 78.2210.00,,,,20:16.8,->,78.2210.00
17:20:16.924 -> 78.2210.00,,,,20:16.9,->,78.2210.00
17:20:17.019 -> 78.2210.00,,,,20:17.0,->,78.2210.00
17:20:17.099 -> 78.2210.00,,,,20:17.1,->,78.2210.00
17:20:17.194 -> 78.2210.00,,,,20:17.2,->,78.2210.00
17:20:17.289 -> 78.2210.00,,,,20:17.3,->,78.2210.00
17:20:17.431 -> 78.2209.00,,,,20:17.4,->,78.2209.00
17:20:17.526 -> 76.2209.00,,,,20:17.5,->,76.2209.00
17:20:17.621 -> 76.2210.00,,,,20:17.6,->,76.2210.00
17:20:17.716 -> 78.2210.00,,,,20:17.7,->,78.2210.00
17:20:17.811 -> 78.2210.00,,,,20:17.8,->,78.2210.00
17:20:17.905 -> 78.2209.00,,,,20:17.9,->,78.2209.00
17:20:18.031 -> 76.2210.00,,,,20:18.0,->,76.2210.00
17:20:18.126 -> 78.2209.00,,,,20:18.1,->,78.2209.00
17:20:18.220 -> 76.2209.00,,,,20:18.2,->,76.2209.00
17:20:18.316 -> 76.2209.00,,,,20:18.3,->,76.2209.00
17:20:18.410 -> 76.2209.00,,,,20:18.4,->,76.2209.00
17:20:18.505 -> 76.2210.00,,,,20:18.5,->,76.2210.00
17:20:18.647 -> 78.2210.00,,,,20:18.6,->,78.2210.00
17:20:18.742 -> 78.2211.00,,,,20:18.7,->,78.2211.00
17:20:18.836 -> 80.1211.00,,,,20:18.8,->,80.1211.00
17:20:18.931 -> 80.1210.00,,,,20:18.9,->,80.1210.00
17:20:19.027 -> 78.2211.00,,,,20:19.0,->,78.2211.00
17:20:19.122 -> 80.1211.00,,,,20:19.1,->,80.1211.00
17:20:19.217 -> 80.1211.00,,,,20:19.2,->,80.1211.00
17:20:19.312 -> 80.1210.00,,,,20:19.3,->,80.1210.00
17:20:19.454 -> 78.2210.00,,,,20:19.5,->,78.2210.00
17:20:19.547 -> 78.2210.00,,,,20:19.5,->,78.2210.00
17:20:19.642 -> 78.2210.00,,,,20:19.6,->,78.2210.00
17:20:19.744 -> 78.2210.00,,,,20:19.7,->,78.2210.00
17:20:19.831 -> 78.2210.00,,,,20:19.8,->,78.2210.00
17:20:19.926 -> 78.2209.00,,,,20:19.9,->,78.2209.00
17:20:20.020 -> 76.2210.00,,,,20:20.0,->,76.2210.00
17:20:20.161 -> 78.2210.00,,,,20:20.2,->,78.2210.00
17:20:20.256 -> 78.2210.00,,,,20:20.3,->,78.2210.00
17:20:20.350 -> 78.2209.00,,,,20:20.3,->,78.2209.00
17:20:20.430 -> 76.2210.00,,,,20:20.4,->,76.2210.00
17:20:20.541 -> 78.2210.00,,,,20:20.5,->,78.2210.00
17:20:20.638 -> 78.2209.00,,,,20:20.6,->,78.2209.00
17:20:20.732 -> 76.2209.00,,,,20:20.7,->,76.2209.00
17:20:20.827 -> 76.2209.00,,,,20:20.8,->,76.2209.00
17:20:20.968 -> 76.2209.00,,,,20:21.0,->,76.2209.00
17:20:21.062 -> 76.2209.00,,,,20:21.1,->,76.2209.00
17:20:21.158 -> 76.2209.00,,,,20:21.2,->,76.2209.00
17:20:21.252 -> 76.2210.00,,,,20:21.3,->,76.2210.00
17:20:21.351 -> 78.2209.00,,,,20:21.4,->,78.2209.00
17:20:21.443 -> 76.2208.00,,,,20:21.4,->,76.2208.00
17:20:21.536 -> 74.3208.00,,,,20:21.5,->,74.3208.00
17:20:21.681 -> 74.3206.00,,,,20:21.7,->,74.3206.00
17:20:21.773 -> 70.3207.00,,,,20:21.8,->,70.3207.00
17:20:21.867 -> 72.3208.00,,,,20:21.9,->,72.3208.00
17:20:21.961 -> 74.3210.00,,,,20:22.0,->,74.3210.00
17:20:22.055 -> 78.2210.00,,,,20:22.1,->,78.2210.00
17:20:22.181 -> 78.2210.00,,,,20:22.2,->,78.2210.00
17:20:22.276 -> 78.2209.00,,,,20:22.3,->,78.2209.00
17:20:22.370 -> 76.2209.00,,,,20:22.4,->,76.2209.00
17:20:22.464 -> 76.2207.00,,,,20:22.5,->,76.2207.00
17:20:22.558 -> 72.3207.00,,,,20:22.6,->,72.3207.00
17:20:22.651 -> 72.3207.00,,,,20:22.7,->,72.3207.00
17:20:22.792 -> 72.3207.00,,,,20:22.8,->,72.3207.00
17:20:22.887 -> 72.3208.00,,,,20:22.9,->,72.3208.00
17:20:22.982 -> 74.3209.00,,,,20:23.0,->,74.3209.00
17:20:23.076 -> 76.2209.00,,,,20:23.1,->,76.2209.00
17:20:23.170 -> 76.2210.00,,,,20:23.2,->,76.2210.00
17:20:23.264 -> 78.2210.00,,,,20:23.3,->,78.2210.00
17:20:23.359 -> 78.2210.00,,,,20:23.4,->,78.2210.00
17:20:23.454 -> 78.2210.00,,,,20:23.5,->,78.2210.00
17:20:23.595 -> 78.2210.00,,,,20:23.6,->,78.2210.00
17:20:23.691 -> 78.2209.00,,,,20:23.7,->,78.2209.00
17:20:23.785 -> 76.2209.00,,,,20:23.8,->,76.2209.00
17:20:23.881 -> 76.2210.00,,,,20:23.9,->,76.2210.00
17:20:23.976 -> 78.2210.00,,,,20:24.0,->,78.2210.00
17:20:24.071 -> 78.2210.00,,,,20:24.1,->,78.2210.00
17:20:24.164 -> 78.2211.00,,,,20:24.2,->,78.2211.00
17:20:24.258 -> 80.1210.00,,,,20:24.3,->,80.1210.00
17:20:24.385 -> 78.2210.00,,,,20:24.4,->,78.2210.00
17:20:24.480 -> 78.2211.00,,,,20:24.5,->,78.2211.00
17:20:24.575 -> 80.1211.00,,,,20:24.6,->,80.1211.00
17:20:24.669 -> 80.1212.00,,,,20:24.7,->,80.1212.00
17:20:24.810 -> 82.1211.00,,,,20:24.8,->,82.1211.00
17:20:24.904 -> 80.1211.00,,,,20:24.9,->,80.1211.00
17:20:24.999 -> 80.1210.00,,,,20:25.0,->,80.1210.00
17:20:25.094 -> 78.2209.00,,,,20:25.1,->,78.2209.00
17:20:25.190 -> 76.2210.00,,,,20:25.2,->,76.2210.00
17:20:25.286 -> 78.2210.00,,,,20:25.3,->,78.2210.00
17:20:25.380 -> 78.2209.00,,,,20:25.4,->,78.2209.00
17:20:25.474 -> 76.2210.00,,,,20:25.5,->,76.2210.00
17:20:25.615 -> 78.2210.00,,,,20:25.6,->,78.2210.00
17:20:25.708 -> 78.2210.00,,,,20:25.7,->,78.2210.00
17:20:25.803 -> 78.2209.00,,,,20:25.8,->,78.2209.00
17:20:25.912 -> 76.2210.00,,,,20:25.9,->,76.2210.00
17:20:26.007 -> 78.2209.00,,,,20:26.0,->,78.2209.00
17:20:26.087 -> 76.2210.00,,,,20:26.1,->,76.2210.00
17:20:26.182 -> 78.2210.00,,,,20:26.2,->,78.2210.00
17:20:26.323 -> 78.2210.00,,,,20:26.3,->,78.2210.00
17:20:26.417 -> 78.2210.00,,,,20:26.4,->,78.2210.00
17:20:26.510 -> 78.2209.00,,,,20:26.5,->,78.2209.00
17:20:26.604 -> 76.2210.00,,,,20:26.6,->,76.2210.00
17:20:26.698 -> 78.2210.00,,,,20:26.7,->,78.2210.00
17:20:26.792 -> 78.2210.00,,,,20:26.8,->,78.2210.00
17:20:26.933 -> 78.2210.00,,,,20:26.9,->,78.2210.00
17:20:27.029 -> 78.2211.00,,,,20:27.0,->,78.2211.00
17:20:27.122 -> 80.1210.00,,,,20:27.1,->,80.1210.00
17:20:27.216 -> 78.2210.00,,,,20:27.2,->,78.2210.00
17:20:27.310 -> 78.2210.00,,,,20:27.3,->,78.2210.00
17:20:27.404 -> 78.2211.00,,,,20:27.4,->,78.2211.00
17:20:27.497 -> 80.1210.00,,,,20:27.5,->,80.1210.00
17:20:27.591 -> 78.2210.00,,,,20:27.6,->,78.2210.00
17:20:27.732 -> 78.2210.00,,,,20:27.7,->,78.2210.00
17:20:27.828 -> 78.2209.00,,,,20:27.8,->,78.2209.00
17:20:27.923 -> 76.2210.00,,,,20:27.9,->,76.2210.00
17:20:28.019 -> 78.2210.00,,,,20:28.0,->,78.2210.00
17:20:28.113 -> 78.2210.00,,,,20:28.1,->,78.2210.00
17:20:28.209 -> 78.2209.00,,,,20:28.2,->,78.2209.00
17:20:28.302 -> 76.2209.00,,,,20:28.3,->,76.2209.00
17:20:28.443 -> 76.2209.00,,,,20:28.4,->,76.2209.00
17:20:28.538 -> 76.2209.00,,,,20:28.5,->,76.2209.00
17:20:28.634 -> 76.2208.00,,,,20:28.6,->,76.2208.00
17:20:28.728 -> 74.3208.00,,,,20:28.7,->,74.3208.00
17:20:28.822 -> 74.3205.00,,,,20:28.8,->,74.3205.00
17:20:28.916 -> 68.4204.00,,,,20:28.9,->,68.4204.00
17:20:29.010 -> 66.4205.00,,,,20:29.0,->,66.4205.00
17:20:29.150 -> 68.4205.00,,,,20:29.2,->,68.4205.00
17:20:29.244 -> 68.4207.00,,,,20:29.2,->,68.4207.00
17:20:29.338 -> 72.3207.00,,,,20:29.3,->,72.3207.00
17:20:29.432 -> 72.3207.00,,,,20:29.4,->,72.3207.00
17:20:29.525 -> 72.3209.00,,,,20:29.5,->,72.3209.00
17:20:29.619 -> 76.2210.00,,,,20:29.6,->,76.2210.00
17:20:29.760 -> 78.2210.00,,,,20:29.8,->,78.2210.00
17:20:29.854 -> 78.2210.00,,,,20:29.9,->,78.2210.00
17:20:29.947 -> 78.2211.00,,,,20:29.9,->,78.2211.00
17:20:30.041 -> 80.1211.00,,,,20:30.0,->,80.1211.00
17:20:30.135 -> 80.1211.00,,,,20:30.1,->,80.1211.00
17:20:30.229 -> 80.1211.00,,,,20:30.2,->,80.1211.00
17:20:30.325 -> 80.1210.00,,,,20:30.3,->,80.1210.00
17:20:30.467 -> 78.2211.00,,,,20:30.5,->,78.2211.00
17:20:30.564 -> 80.1210.00,,,,20:30.6,->,80.1210.00
17:20:30.657 -> 78.2210.00,,,,20:30.7,->,78.2210.00
17:20:30.751 -> 78.2210.00,,,,20:30.8,->,78.2210.00
17:20:30.845 -> 78.2210.00,,,,20:30.8,->,78.2210.00
17:20:30.940 -> 78.2210.00,,,,20:30.9,->,78.2210.00
17:20:31.067 -> 78.2210.00,,,,20:31.1,->,78.2210.00
17:20:31.162 -> 78.2210.00,,,,20:31.2,->,78.2210.00
17:20:31.257 -> 78.2211.00,,,,20:31.3,->,78.2211.00
17:20:31.352 -> 80.1211.00,,,,20:31.4,->,80.1211.00
17:20:31.447 -> 80.1210.00,,,,20:31.4,->,80.1210.00
17:20:31.542 -> 78.2210.00,,,,20:31.5,->,78.2210.00
17:20:31.637 -> 78.2210.00,,,,20:31.6,->,78.2210.00
17:20:31.779 -> 78.2210.00,,,,20:31.8,->,78.2210.00
17:20:31.874 -> 78.2209.00,,,,20:31.9,->,78.2209.00
17:20:31.969 -> 76.2209.00,,,,20:32.0,->,76.2209.00
17:20:32.064 -> 76.2209.00,,,,20:32.1,->,76.2209.00
17:20:32.160 -> 76.2208.00,,,,20:32.2,->,76.2208.00
17:20:32.254 -> 74.3208.00,,,,20:32.3,->,74.3208.00
17:20:32.349 -> 74.3209.00,,,,20:32.3,->,74.3209.00
17:20:32.444 -> 76.2209.00,,,,20:32.4,->,76.2209.00
17:20:32.571 -> 76.2210.00,,,,20:32.6,->,76.2210.00
17:20:32.666 -> 78.2209.00,,,,20:32.7,->,78.2209.00
17:20:32.762 -> 76.2209.00,,,,20:32.8,->,76.2209.00
17:20:32.857 -> 76.2209.00,,,,20:32.9,->,76.2209.00
17:20:32.954 -> 76.2210.00,,,,20:33.0,->,76.2210.00
17:20:33.047 -> 78.2210.00,,,,20:33.0,->,78.2210.00
17:20:33.173 -> 78.2210.00,,,,20:33.2,->,78.2210.00
17:20:33.269 -> 78.2210.00,,,,20:33.3,->,78.2210.00
17:20:33.364 -> 78.2210.00,,,,20:33.4,->,78.2210.00
17:20:33.459 -> 78.2210.00,,,,20:33.5,->,78.2210.00
17:20:33.554 -> 78.2210.00,,,,20:33.6,->,78.2210.00
17:20:33.649 -> 78.2209.00,,,,20:33.6,->,78.2209.00
17:20:33.792 -> 76.2209.00,,,,20:33.8,->,76.2209.00
17:20:33.887 -> 76.2209.00,,,,20:33.9,->,76.2209.00
17:20:33.983 -> 76.2209.00,,,,20:34.0,->,76.2209.00
17:20:34.078 -> 76.2209.00,,,,20:34.1,->,76.2209.00
17:20:34.173 -> 76.2210.00,,,,20:34.2,->,76.2210.00
17:20:34.301 -> 78.2210.00,,,,20:34.3,->,78.2210.00
17:20:34.396 -> 78.2210.00,,,,20:34.4,->,78.2210.00
17:20:34.492 -> 78.2209.00,,,,20:34.5,->,78.2209.00
17:20:34.587 -> 76.2210.00,,,,20:34.6,->,76.2210.00
17:20:34.683 -> 78.2209.00,,,,20:34.7,->,78.2209.00
17:20:34.777 -> 76.2209.00,,,,20:34.8,->,76.2209.00
17:20:34.871 -> 76.2209.00,,,,20:34.9,->,76.2209.00
17:20:35.013 -> 76.2209.00,,,,20:35.0,->,76.2209.00
17:20:35.108 -> 76.2209.00,,,,20:35.1,->,76.2209.00
17:20:35.204 -> 76.2209.00,,,,20:35.2,->,76.2209.00
17:20:35.297 -> 76.2209.00,,,,20:35.3,->,76.2209.00
17:20:35.391 -> 76.2208.00,,,,20:35.4,->,76.2208.00
17:20:35.485 -> 74.3208.00,,,,20:35.5,->,74.3208.00
17:20:35.579 -> 74.3209.00,,,,20:35.6,->,74.3209.00
17:20:35.672 -> 76.2210.00,,,,20:35.7,->,76.2210.00
17:20:35.814 -> 78.2210.00,,,,20:35.8,->,78.2210.00
17:20:35.908 -> 78.2210.00,,,,20:35.9,->,78.2210.00
17:20:36.019 -> 78.2210.00,,,,20:36.0,->,78.2210.00
17:20:36.099 -> 78.2210.00,,,,20:36.1,->,78.2210.00
17:20:36.194 -> 78.2210.00,,,,20:36.2,->,78.2210.00
17:20:36.288 -> 78.2210.00,,,,20:36.3,->,78.2210.00
17:20:36.381 -> 78.2211.00,,,,20:36.4,->,78.2211.00
17:20:36.522 -> 80.1210.00,,,,20:36.5,->,80.1210.00
17:20:36.616 -> 78.2211.00,,,,20:36.6,->,78.2211.00
17:20:36.709 -> 80.1210.00,,,,20:36.7,->,80.1210.00
17:20:36.803 -> 78.2210.00,,,,20:36.8,->,78.2210.00
17:20:36.897 -> 78.2209.00,,,,20:36.9,->,78.2209.00
17:20:36.991 -> 76.2208.00,,,,20:37.0,->,76.2208.00
17:20:37.136 -> 74.3208.00,,,,20:37.1,->,74.3208.00
17:20:37.228 -> 74.3208.00,,,,20:37.2,->,74.3208.00
17:20:37.322 -> 74.3208.00,,,,20:37.3,->,74.3208.00
17:20:37.416 -> 74.3210.00,,,,20:37.4,->,74.3210.00
17:20:37.509 -> 78.2210.00,,,,20:37.5,->,78.2210.00
17:20:37.603 -> 78.2210.00,,,,20:37.6,->,78.2210.00
17:20:37.697 -> 78.2209.00,,,,20:37.7,->,78.2209.00
17:20:37.791 -> 76.2209.00,,,,20:37.8,->,76.2209.00
17:20:37.931 -> 76.2210.00,,,,20:37.9,->,76.2210.00
17:20:38.025 -> 78.2210.00,,,,20:38.0,->,78.2210.00
17:20:38.103 -> 78.2210.00,,,,20:38.1,->,78.2210.00
17:20:38.197 -> 78.2210.00,,,,20:38.2,->,78.2210.00
17:20:38.338 -> 78.2210.00,,,,20:38.3,->,78.2210.00
17:20:38.434 -> 78.2210.00,,,,20:38.4,->,78.2210.00
17:20:38.527 -> 78.2210.00,,,,20:38.5,->,78.2210.00
17:20:38.622 -> 78.2211.00,,,,20:38.6,->,78.2211.00
17:20:38.715 -> 80.1210.00,,,,20:38.7,->,80.1210.00
17:20:38.810 -> 78.2210.00,,,,20:38.8,->,78.2210.00
17:20:38.952 -> 78.2210.00,,,,20:39.0,->,78.2210.00
17:20:39.046 -> 78.2210.00,,,,20:39.0,->,78.2210.00
17:20:39.142 -> 78.2210.00,,,,20:39.1,->,78.2210.00
17:20:39.235 -> 78.2210.00,,,,20:39.2,->,78.2210.00
17:20:39.329 -> 78.2210.00,,,,20:39.3,->,78.2210.00
17:20:39.423 -> 78.2209.00,,,,20:39.4,->,78.2209.00
17:20:39.516 -> 76.2208.00,,,,20:39.5,->,76.2208.00
17:20:39.610 -> 74.3206.00,,,,20:39.6,->,74.3206.00
17:20:39.751 -> 70.3205.00,,,,20:39.8,->,70.3205.00
17:20:39.845 -> 68.4206.00,,,,20:39.8,->,68.4206.00
17:20:39.939 -> 70.3207.00,,,,20:39.9,->,70.3207.00
17:20:40.033 -> 72.3208.00,,,,20:40.0,->,72.3208.00
17:20:40.127 -> 74.3209.00,,,,20:40.1,->,74.3209.00
17:20:40.222 -> 76.2210.00,,,,20:40.2,->,76.2210.00
17:20:40.316 -> 78.2209.00,,,,20:40.3,->,78.2209.00
17:20:40.456 -> 76.2209.00,,,,20:40.5,->,76.2209.00
17:20:40.550 -> 76.2209.00,,,,20:40.6,->,76.2209.00
17:20:40.644 -> 76.2209.00,,,,20:40.6,->,76.2209.00
17:20:40.738 -> 76.2210.00,,,,20:40.7,->,76.2210.00
17:20:40.832 -> 78.2210.00,,,,20:40.8,->,78.2210.00
17:20:40.974 -> 78.2210.00,,,,20:41.0,->,78.2210.00
