TimeStamp,Unit,,,TimeStamp,,Values
14:19:30.369 -> 48.9,kPa,,,19:30.4,->,48.9
14:19:30.433 -> 46.9,kPa,,,19:30.4,->,46.9
14:19:30.559 -> 48.9,kPa,,,19:30.6,->,48.9
14:19:30.653 -> 56.7,kPa,,,19:30.7,->,56.7
14:19:30.748 -> 64.5,kPa,,,19:30.7,->,64.5
14:19:30.842 -> 70.3,kPa,,,19:30.8,->,70.3
14:19:30.986 -> 74.3,kPa,,,19:31.0,->,74.3
14:19:31.033 -> 76.2,kPa,,,19:31.0,->,76.2
14:19:31.175 -> 82.1,kPa,,,19:31.2,->,82.1
14:19:31.269 -> 84.0,kPa,,,19:31.3,->,84
14:19:31.364 -> 82.1,kPa,,,19:31.4,->,82.1
14:19:31.459 -> 89.9,kPa,,,19:31.5,->,89.9
14:19:31.553 -> 95.7,kPa,,,19:31.6,->,95.7
14:19:31.648 -> 97.7,kPa,,,19:31.6,->,97.7
14:19:31.743 -> 97.7,kPa,,,19:31.7,->,97.7
14:19:31.837 -> 99.6,kPa,,,19:31.8,->,99.6
14:19:31.979 -> 97.7,kPa,,,19:32.0,->,97.7
14:19:32.074 -> 97.7,kPa,,,19:32.1,->,97.7
14:19:32.169 -> 99.6,kPa,,,19:32.2,->,99.6
14:19:32.265 -> 97.7,kPa,,,19:32.3,->,97.7
14:19:32.343 -> 99.6,kPa,,,19:32.3,->,99.6
14:19:32.485 -> 101.6,kPa,,,19:32.5,->,101.6
14:19:32.580 -> 99.6,kPa,,,19:32.6,->,99.6
14:19:32.675 -> 93.8,kPa,,,19:32.7,->,93.8
14:19:32.769 -> 87.9,kPa,,,19:32.8,->,87.9
14:19:32.865 -> 82.1,kPa,,,19:32.9,->,82.1
14:19:32.960 -> 74.3,kPa,,,19:33.0,->,74.3
14:19:33.071 -> 70.3,kPa,,,19:33.1,->,70.3
14:19:33.165 -> 66.4,kPa,,,19:33.2,->,66.4
14:19:33.262 -> 66.4,kPa,,,19:33.3,->,66.4
14:19:33.355 -> 70.3,kPa,,,19:33.4,->,70.3
14:19:33.450 -> 66.4,kPa,,,19:33.5,->,66.4
14:19:33.591 -> 68.4,kPa,,,19:33.6,->,68.4
14:19:33.686 -> 68.4,kPa,,,19:33.7,->,68.4
