TimeStamp,,,,TimeStamp,,Specification,Unit,Value
14:19:33.986 -> The value of current in ma : 7994.98,,,,19:34.0,->,current ,ma,7994.98
14:19:34.081 -> The value of current in ma : 7948.90,,,,19:34.1,->,current ,ma,7948.9
14:19:34.223 -> The value of current in ma : 7994.98,,,,19:34.2,->,current ,ma,7994.98
14:19:34.349 -> The value of current in ma : 7948.90,,,,19:34.3,->,current ,ma,7948.9
14:19:34.444 -> The value of current in ma : 8087.14,,,,19:34.4,->,current ,ma,8087.14
14:19:34.585 -> The value of current in ma : 7971.94,,,,19:34.6,->,current ,ma,7971.94
14:19:34.728 -> The value of current in ma : 7925.86,,,,19:34.7,->,current ,ma,7925.86
14:19:34.807 -> The value of current in ma : 7971.94,,,,19:34.8,->,current ,ma,7971.94
14:19:34.933 -> The value of current in ma : 7994.98,,,,19:34.9,->,current ,ma,7994.98
14:19:35.075 -> The value of current in ma : 7948.90,,,,19:35.1,->,current ,ma,7948.9
14:19:35.170 -> The value of current in ma : 7994.98,,,,19:35.2,->,current ,ma,7994.98
14:19:35.312 -> The value of current in ma : 8018.02,,,,19:35.3,->,current ,ma,8018.02
14:19:35.440 -> The value of current in ma : 7971.94,,,,19:35.4,->,current ,ma,7971.94
14:19:35.535 -> The value of current in ma : 8018.02,,,,19:35.5,->,current ,ma,8018.02
14:19:35.677 -> The value of current in ma : 7971.94,,,,19:35.7,->,current ,ma,7971.94
14:19:35.820 -> The value of current in ma : 8064.10,,,,19:35.8,->,current ,ma,8064.1
14:19:35.930 -> The value of current in ma : 8064.10,,,,19:35.9,->,current ,ma,8064.1
14:19:36.025 -> The value of current in ma : 7948.90,,,,19:36.0,->,current ,ma,7948.9
14:19:36.166 -> The value of current in ma : 8041.06,,,,19:36.2,->,current ,ma,8041.06
14:19:36.259 -> The value of current in ma : 7925.86,,,,19:36.3,->,current ,ma,7925.86
14:19:36.400 -> The value of current in ma : 7994.98,,,,19:36.4,->,current ,ma,7994.98
14:19:36.542 -> The value of current in ma : 8041.06,,,,19:36.5,->,current ,ma,8041.06
14:19:36.637 -> The value of current in ma : 8018.02,,,,19:36.6,->,current ,ma,8018.02
14:19:36.778 -> The value of current in ma : 7948.90,,,,19:36.8,->,current ,ma,7948.9
14:19:36.871 -> The value of current in ma : 7994.98,,,,19:36.9,->,current ,ma,7994.98
14:19:37.012 -> The value of current in ma : 8018.02,,,,19:37.0,->,current ,ma,8018.02
14:19:37.106 -> The value of current in ma : 7971.94,,,,19:37.1,->,current ,ma,7971.94
14:19:37.246 -> The value of current in ma : 7971.94,,,,19:37.2,->,current ,ma,7971.94
14:19:37.387 -> The value of current in ma : 7994.98,,,,19:37.4,->,current ,ma,7994.98
14:19:37.481 -> The value of current in ma : 7994.98,,,,19:37.5,->,current ,ma,7994.98
14:19:37.623 -> The value of current in ma : 8087.14,,,,19:37.6,->,current ,ma,8087.14
14:19:37.718 -> The value of current in ma : 8018.02,,,,19:37.7,->,current ,ma,8018.02
14:19:37.858 -> The value of current in ma : 8064.10,,,,19:37.9,->,current ,ma,8064.1
14:19:37.999 -> The value of current in ma : 7971.94,,,,19:38.0,->,current ,ma,7971.94
14:19:38.093 -> The value of current in ma : 7902.82,,,,19:38.1,->,current ,ma,7902.82
14:19:38.234 -> The value of current in ma : 8041.06,,,,19:38.2,->,current ,ma,8041.06
14:19:38.327 -> The value of current in ma : 7971.94,,,,19:38.3,->,current ,ma,7971.94
14:19:38.469 -> The value of current in ma : 7994.98,,,,19:38.5,->,current ,ma,7994.98
14:19:38.563 -> The value of current in ma : 7971.94,,,,19:38.6,->,current ,ma,7971.94
14:19:38.705 -> The value of current in ma : 7948.90,,,,19:38.7,->,current ,ma,7948.9
