TimeStamp,,,,TimeStamp,,Specification,Unit,Value
16:10:56.956 -> The value of current in ma : 0.00,,,,10:57.0,->,current,ma,0
16:10:57.051 -> The value of current in ma : 0.00,,,,10:57.1,->,current,ma,0
16:10:57.195 -> The value of current in ma : 0.00,,,,10:57.2,->,current,ma,0
16:10:57.431 -> The value of current in ma : 0.00,,,,10:57.4,->,current,ma,0
16:10:57.525 -> The value of current in ma : 0.00,,,,10:57.5,->,current,ma,0
16:10:58.380 -> The value of current in ma : 0.00,,,,10:58.4,->,current,ma,0
16:10:58.523 -> The value of current in ma : 19630.33,,,,10:58.5,->,current,ma,19630.33
16:10:58.617 -> The value of current in ma : 9838.21,,,,10:58.6,->,current,ma,9838.21
16:10:58.760 -> The value of current in ma : 9170.04,,,,10:58.8,->,current,ma,9170.04
16:10:58.854 -> The value of current in ma : 9262.20,,,,10:58.9,->,current,ma,9262.2
16:10:58.995 -> The value of current in ma : 9239.16,,,,10:59.0,->,current,ma,9239.16
16:10:59.136 -> The value of current in ma : 9239.16,,,,10:59.1,->,current,ma,9239.16
16:10:59.230 -> The value of current in ma : 9285.24,,,,10:59.2,->,current,ma,9285.24
16:10:59.373 -> The value of current in ma : 9216.12,,,,10:59.4,->,current,ma,9216.12
16:10:59.468 -> The value of current in ma : 9147.00,,,,10:59.5,->,current,ma,9147
16:10:59.608 -> The value of current in ma : 9285.24,,,,10:59.6,->,current,ma,9285.24
16:10:59.704 -> The value of current in ma : 9170.04,,,,10:59.7,->,current,ma,9170.04
16:10:59.846 -> The value of current in ma : 9170.04,,,,10:59.8,->,current,ma,9170.04
16:10:59.941 -> The value of current in ma : 9262.20,,,,10:59.9,->,current,ma,9262.2
16:11:00.083 -> The value of current in ma : 9216.12,,,,11:00.1,->,current,ma,9216.12
16:11:00.225 -> The value of current in ma : 9216.12,,,,11:00.2,->,current,ma,9216.12
16:11:00.321 -> The value of current in ma : 9216.12,,,,11:00.3,->,current,ma,9216.12
16:11:00.462 -> The value of current in ma : 9239.16,,,,11:00.5,->,current,ma,9239.16
16:11:00.556 -> The value of current in ma : 9170.04,,,,11:00.6,->,current,ma,9170.04
16:11:00.665 -> The value of current in ma : 9170.04,,,,11:00.7,->,current,ma,9170.04
16:11:00.808 -> The value of current in ma : 9239.16,,,,11:00.8,->,current,ma,9239.16
16:11:00.903 -> The value of current in ma : 9216.12,,,,11:00.9,->,current,ma,9216.12
16:11:01.044 -> The value of current in ma : 9193.08,,,,11:01.0,->,current,ma,9193.08
16:11:01.184 -> The value of current in ma : 9170.04,,,,11:01.2,->,current,ma,9170.04
16:11:01.280 -> The value of current in ma : 9170.04,,,,11:01.3,->,current,ma,9170.04
