TimeStamp,,,,TimeStamp,,Specification,Unit,Value
16:30:20.158 -> The value of current in ma : 9100.92,,,,30:20.2,->,current,ma,9100.92
16:30:20.268 -> The value of current in ma : 9123.96,,,,30:20.3,->,current,ma,9123.96
16:30:20.393 -> The value of current in ma : 9123.96,,,,30:20.4,->,current,ma,9123.96
16:30:20.534 -> The value of current in ma : 9077.88,,,,30:20.5,->,current,ma,9077.88
16:30:20.627 -> The value of current in ma : 9100.92,,,,30:20.6,->,current,ma,9100.92
16:30:20.768 -> The value of current in ma : 9123.96,,,,30:20.8,->,current,ma,9123.96
16:30:20.909 -> The value of current in ma : 9077.88,,,,30:20.9,->,current,ma,9077.88
16:30:21.002 -> The value of current in ma : 9147.00,,,,30:21.0,->,current,ma,9147
16:30:21.143 -> The value of current in ma : 9100.92,,,,30:21.1,->,current,ma,9100.92
16:30:21.237 -> The value of current in ma : 9123.96,,,,30:21.2,->,current,ma,9123.96
16:30:21.377 -> The value of current in ma : 9123.96,,,,30:21.4,->,current,ma,9123.96
16:30:21.518 -> The value of current in ma : 9123.96,,,,30:21.5,->,current,ma,9123.96
16:30:21.612 -> The value of current in ma : 9100.92,,,,30:21.6,->,current,ma,9100.92
16:30:21.753 -> The value of current in ma : 9077.88,,,,30:21.8,->,current,ma,9077.88
16:30:21.847 -> The value of current in ma : 9100.92,,,,30:21.8,->,current,ma,9100.92
16:30:21.972 -> The value of current in ma : 9077.88,,,,30:22.0,->,current,ma,9077.88
16:30:22.112 -> The value of current in ma : 9147.00,,,,30:22.1,->,current,ma,9147
16:30:22.206 -> The value of current in ma : 9031.80,,,,30:22.2,->,current,ma,9031.8
16:30:22.347 -> The value of current in ma : 9100.92,,,,30:22.3,->,current,ma,9100.92
16:30:22.441 -> The value of current in ma : 9031.80,,,,30:22.4,->,current,ma,9031.8
16:30:22.597 -> The value of current in ma : 9008.76,,,,30:22.6,->,current,ma,9008.76
16:30:22.691 -> The value of current in ma : 9031.80,,,,30:22.7,->,current,ma,9031.8
16:30:22.816 -> The value of current in ma : 9031.80,,,,30:22.8,->,current,ma,9031.8
16:30:22.941 -> The value of current in ma : 9077.88,,,,30:22.9,->,current,ma,9077.88
16:30:23.081 -> The value of current in ma : 9077.88,,,,30:23.1,->,current,ma,9077.88
16:30:23.176 -> The value of current in ma : 9077.88,,,,30:23.2,->,current,ma,9077.88
16:30:23.316 -> The value of current in ma : 9077.88,,,,30:23.3,->,current,ma,9077.88
16:30:23.410 -> The value of current in ma : 9054.84,,,,30:23.4,->,current,ma,9054.84
16:30:23.551 -> The value of current in ma : 9077.88,,,,30:23.6,->,current,ma,9077.88
16:30:23.691 -> The value of current in ma : 9100.92,,,,30:23.7,->,current,ma,9100.92
16:30:23.785 -> The value of current in ma : 9054.84,,,,30:23.8,->,current,ma,9054.84
16:30:23.926 -> The value of current in ma : 9100.92,,,,30:23.9,->,current,ma,9100.92
16:30:24.020 -> The value of current in ma : 9054.84,,,,30:24.0,->,current,ma,9054.84
16:30:24.160 -> The value of current in ma : 9100.92,,,,30:24.2,->,current,ma,9100.92
16:30:24.301 -> The value of current in ma : 9054.84,,,,30:24.3,->,current,ma,9054.84
16:30:24.394 -> The value of current in ma : 9077.88,,,,30:24.4,->,current,ma,9077.88
16:30:24.536 -> The value of current in ma : 9031.80,,,,30:24.5,->,current,ma,9031.8
16:30:24.630 -> The value of current in ma : 9077.88,,,,30:24.6,->,current,ma,9077.88
16:30:24.771 -> The value of current in ma : 9123.96,,,,30:24.8,->,current,ma,9123.96
16:30:24.864 -> The value of current in ma : 9077.88,,,,30:24.9,->,current,ma,9077.88
16:30:24.989 -> The value of current in ma : 9077.88,,,,30:25.0,->,current,ma,9077.88
16:30:25.114 -> The value of current in ma : 9008.76,,,,30:25.1,->,current,ma,9008.76
16:30:25.255 -> The value of current in ma : 9123.96,,,,30:25.3,->,current,ma,9123.96
16:30:25.349 -> The value of current in ma : 9054.84,,,,30:25.3,->,current,ma,9054.84
16:30:25.489 -> The value of current in ma : 9100.92,,,,30:25.5,->,current,ma,9100.92
16:30:25.630 -> The value of current in ma : 9054.84,,,,30:25.6,->,current,ma,9054.84
16:30:25.724 -> The value of current in ma : 9031.80,,,,30:25.7,->,current,ma,9031.8
16:30:25.865 -> The value of current in ma : 9077.88,,,,30:25.9,->,current,ma,9077.88
16:30:25.959 -> The value of current in ma : 9077.88,,,,30:26.0,->,current,ma,9077.88
16:30:26.100 -> The value of current in ma : 9054.84,,,,30:26.1,->,current,ma,9054.84
16:30:26.240 -> The value of current in ma : 9054.84,,,,30:26.2,->,current,ma,9054.84
16:30:26.334 -> The value of current in ma : 9077.88,,,,30:26.3,->,current,ma,9077.88
16:30:26.475 -> The value of current in ma : 9077.88,,,,30:26.5,->,current,ma,9077.88
16:30:26.568 -> The value of current in ma : 9100.92,,,,30:26.6,->,current,ma,9100.92
16:30:26.709 -> The value of current in ma : 9054.84,,,,30:26.7,->,current,ma,9054.84
16:30:26.803 -> The value of current in ma : 9031.80,,,,30:26.8,->,current,ma,9031.8
16:30:26.943 -> The value of current in ma : 9077.88,,,,30:26.9,->,current,ma,9077.88
16:30:27.084 -> The value of current in ma : 9031.80,,,,30:27.1,->,current,ma,9031.8
16:30:27.178 -> The value of current in ma : 9054.84,,,,30:27.2,->,current,ma,9054.84
16:30:27.319 -> The value of current in ma : 9031.80,,,,30:27.3,->,current,ma,9031.8
16:30:27.412 -> The value of current in ma : 9100.92,,,,30:27.4,->,current,ma,9100.92
16:30:27.553 -> The value of current in ma : 9008.76,,,,30:27.6,->,current,ma,9008.76
16:30:27.694 -> The value of current in ma : 9077.88,,,,30:27.7,->,current,ma,9077.88
16:30:27.788 -> The value of current in ma : 9054.84,,,,30:27.8,->,current,ma,9054.84
16:30:27.928 -> The value of current in ma : 9008.76,,,,30:27.9,->,current,ma,9008.76
16:30:28.022 -> The value of current in ma : 9031.80,,,,30:28.0,->,current,ma,9031.8
16:30:28.163 -> The value of current in ma : 9031.80,,,,30:28.2,->,current,ma,9031.8
16:30:28.303 -> The value of current in ma : 9054.84,,,,30:28.3,->,current,ma,9054.84
16:30:28.397 -> The value of current in ma : 9031.80,,,,30:28.4,->,current,ma,9031.8
16:30:28.538 -> The value of current in ma : 9054.84,,,,30:28.5,->,current,ma,9054.84
16:30:28.632 -> The value of current in ma : 9031.80,,,,30:28.6,->,current,ma,9031.8
16:30:28.758 -> The value of current in ma : 9054.84,,,,30:28.8,->,current,ma,9054.84
16:30:28.883 -> The value of current in ma : 9054.84,,,,30:28.9,->,current,ma,9054.84
16:30:29.023 -> The value of current in ma : 9054.84,,,,30:29.0,->,current,ma,9054.84
16:30:29.117 -> The value of current in ma : 8985.72,,,,30:29.1,->,current,ma,8985.72
16:30:29.258 -> The value of current in ma : 9100.92,,,,30:29.3,->,current,ma,9100.92
16:30:29.352 -> The value of current in ma : 9031.80,,,,30:29.4,->,current,ma,9031.8
16:30:29.492 -> The value of current in ma : 9100.92,,,,30:29.5,->,current,ma,9100.92
16:30:29.633 -> The value of current in ma : 9008.76,,,,30:29.6,->,current,ma,9008.76
16:30:29.727 -> The value of current in ma : 9077.88,,,,30:29.7,->,current,ma,9077.88
16:30:29.867 -> The value of current in ma : 9031.80,,,,30:29.9,->,current,ma,9031.8
16:30:29.977 -> The value of current in ma : 9031.80,,,,30:30.0,->,current,ma,9031.8
16:30:30.118 -> The value of current in ma : 9054.84,,,,30:30.1,->,current,ma,9054.84
16:30:30.212 -> The value of current in ma : 9031.80,,,,30:30.2,->,current,ma,9031.8
16:30:30.352 -> The value of current in ma : 9031.80,,,,30:30.4,->,current,ma,9031.8
16:30:30.446 -> The value of current in ma : 9054.84,,,,30:30.4,->,current,ma,9054.84
16:30:30.587 -> The value of current in ma : 9077.88,,,,30:30.6,->,current,ma,9077.88
16:30:30.680 -> The value of current in ma : 8985.72,,,,30:30.7,->,current,ma,8985.72
16:30:30.821 -> The value of current in ma : 9077.88,,,,30:30.8,->,current,ma,9077.88
16:30:30.962 -> The value of current in ma : 9054.84,,,,30:31.0,->,current,ma,9054.84
16:30:31.055 -> The value of current in ma : 9077.88,,,,30:31.1,->,current,ma,9077.88
16:30:31.196 -> The value of current in ma : 9008.76,,,,30:31.2,->,current,ma,9008.76
16:30:31.290 -> The value of current in ma : 8985.72,,,,30:31.3,->,current,ma,8985.72
16:30:31.431 -> The value of current in ma : 9077.88,,,,30:31.4,->,current,ma,9077.88
16:30:31.572 -> The value of current in ma : 9077.88,,,,30:31.6,->,current,ma,9077.88
16:30:31.665 -> The value of current in ma : 9054.84,,,,30:31.7,->,current,ma,9054.84
16:30:31.806 -> The value of current in ma : 9054.84,,,,30:31.8,->,current,ma,9054.84
16:30:31.900 -> The value of current in ma : 9008.76,,,,30:31.9,->,current,ma,9008.76
16:30:32.040 -> The value of current in ma : 9031.80,,,,30:32.0,->,current,ma,9031.8
16:30:32.134 -> The value of current in ma : 9077.88,,,,30:32.1,->,current,ma,9077.88
16:30:32.275 -> The value of current in ma : 9054.84,,,,30:32.3,->,current,ma,9054.84
16:30:32.400 -> The value of current in ma : 9054.84,,,,30:32.4,->,current,ma,9054.84
16:30:32.541 -> The value of current in ma : 8985.72,,,,30:32.5,->,current,ma,8985.72
16:30:32.635 -> The value of current in ma : 9031.80,,,,30:32.6,->,current,ma,9031.8
16:30:32.776 -> The value of current in ma : 9031.80,,,,30:32.8,->,current,ma,9031.8
16:30:32.869 -> The value of current in ma : 9054.84,,,,30:32.9,->,current,ma,9054.84
16:30:32.979 -> The value of current in ma : 9008.76,,,,30:33.0,->,current,ma,9008.76
16:30:33.119 -> The value of current in ma : 9031.80,,,,30:33.1,->,current,ma,9031.8
16:30:33.260 -> The value of current in ma : 9100.92,,,,30:33.3,->,current,ma,9100.92
16:30:33.354 -> The value of current in ma : 9008.76,,,,30:33.4,->,current,ma,9008.76
16:30:33.495 -> The value of current in ma : 9031.80,,,,30:33.5,->,current,ma,9031.8
16:30:33.588 -> The value of current in ma : 9031.80,,,,30:33.6,->,current,ma,9031.8
16:30:33.729 -> The value of current in ma : 9031.80,,,,30:33.7,->,current,ma,9031.8
16:30:33.870 -> The value of current in ma : 8962.68,,,,30:33.9,->,current,ma,8962.68
16:30:33.963 -> The value of current in ma : 9031.80,,,,30:34.0,->,current,ma,9031.8
16:30:34.104 -> The value of current in ma : 9008.76,,,,30:34.1,->,current,ma,9008.76
16:30:34.198 -> The value of current in ma : 9193.08,,,,30:34.2,->,current,ma,9193.08
16:30:34.354 -> The value of current in ma : 9123.96,,,,30:34.4,->,current,ma,9123.96
16:30:34.464 -> The value of current in ma : 9170.04,,,,30:34.5,->,current,ma,9170.04
16:30:34.557 -> The value of current in ma : 9123.96,,,,30:34.6,->,current,ma,9123.96
16:30:34.698 -> The value of current in ma : 9170.04,,,,30:34.7,->,current,ma,9170.04
16:30:34.839 -> The value of current in ma : 9100.92,,,,30:34.8,->,current,ma,9100.92
16:30:34.932 -> The value of current in ma : 9123.96,,,,30:34.9,->,current,ma,9123.96
16:30:35.042 -> The value of current in ma : 9123.96,,,,30:35.0,->,current,ma,9123.96
16:30:35.182 -> The value of current in ma : 9147.00,,,,30:35.2,->,current,ma,9147
16:30:35.323 -> The value of current in ma : 9123.96,,,,30:35.3,->,current,ma,9123.96
16:30:35.417 -> The value of current in ma : 9147.00,,,,30:35.4,->,current,ma,9147
16:30:35.527 -> The value of current in ma : 9123.96,,,,30:35.5,->,current,ma,9123.96
16:30:35.667 -> The value of current in ma : 9193.08,,,,30:35.7,->,current,ma,9193.08
16:30:35.808 -> The value of current in ma : 9193.08,,,,30:35.8,->,current,ma,9193.08
16:30:35.902 -> The value of current in ma : 9147.00,,,,30:35.9,->,current,ma,9147
